Experiment: Apr29_heat_tst_expt vial 14, Fri Apr 29 15:10:13 2022
0.0028,1591
0.0084,1597
0.0141,1598
0.0194,1610
0.0251,1623
0.0307,1634
0.0361,1623
0.0417,1617
0.0474,1622
0.0528,1627
0.0584,1620
0.0641,1620
0.0695,1627
0.0751,1623
0.0808,1620
0.0861,1625
0.0918,1625
0.0972,1620
0.1028,1626
0.1085,1624
0.1138,1618
0.1195,1623
0.1252,1626
0.1306,1619
0.1362,1623
0.1419,1628
0.1472,1620
0.1529,1622
0.1583,1626
0.1639,1621
0.1696,1621
0.175,1627
0.1806,1624
0.1863,1621
0.1917,1627
0.1973,1621
0.203,1620
0.2084,1627
0.2139,1624
0.2196,1619
0.225,1624
0.2306,1624
0.2363,1619
0.2417,1625
0.2473,1623
0.253,1620
0.2583,1627
0.264,1622
0.2696,1620
0.2751,1627
