Experiment: Apr29_heat_tst_expt vial 0, Fri Apr 29 15:10:13 2022
0.0028,1628
0.0084,1624
0.0141,1620
0.0194,1615
0.0251,1613
0.0307,1610
0.0361,1605
0.0417,1601
0.0474,1596
0.0528,1598
0.0584,1602
0.0641,1596
0.0695,1596
0.0751,1598
0.0808,1595
0.0861,1599
0.0918,1598
0.0972,1597
0.1028,1598
0.1085,1599
0.1138,1597
0.1195,1596
0.1252,1597
0.1306,1597
0.1362,1599
0.1419,1597
0.1472,1596
0.1529,1597
0.1583,1597
0.1639,1597
0.1696,1599
0.175,1594
0.1806,1599
0.1863,1598
0.1917,1595
0.1973,1599
0.203,1598
0.2084,1597
0.2139,1602
0.2196,1597
0.225,1596
0.2306,1601
0.2363,1597
0.2417,1597
0.2473,1600
0.253,1597
0.2583,1596
0.264,1598
0.2696,1595
0.2751,1600
