Experiment: Apr29_heat_tst_expt vial 1, Fri Apr 29 15:10:13 2022
0.0028,1632
0.0084,1628
0.0141,1624
0.0194,1626
0.0251,1627
0.0307,1626
0.0361,1624
0.0417,1624
0.0474,1627
0.0528,1624
0.0584,1622
0.0641,1625
0.0695,1630
0.0751,1623
0.0808,1623
0.0861,1625
0.0918,1628
0.0972,1623
0.1028,1621
0.1085,1627
0.1138,1629
0.1195,1620
0.1252,1621
0.1306,1628
0.1362,1629
0.1419,1621
0.1472,1622
0.1529,1627
0.1583,1628
0.1639,1623
0.1696,1621
0.175,1627
0.1806,1627
0.1863,1624
0.1917,1621
0.1973,1625
0.203,1627
0.2084,1623
0.2139,1623
0.2196,1627
0.225,1627
0.2306,1621
0.2363,1623
0.2417,1628
0.2473,1624
0.253,1622
0.2583,1623
0.264,1628
0.2696,1625
0.2751,1622
