Experiment: Apr29_heat_tst_expt vial 5, Fri Apr 29 15:10:13 2022
0.0028,1635
0.0084,1640
0.0141,1638
0.0194,1632
0.0251,1628
0.0307,1620
0.0361,1612
0.0417,1608
0.0474,1612
0.0528,1613
0.0584,1609
0.0641,1613
0.0695,1612
0.0751,1608
0.0808,1614
0.0861,1612
0.0918,1609
0.0972,1613
0.1028,1611
0.1085,1609
0.1138,1614
0.1195,1607
0.1252,1608
0.1306,1614
0.1362,1609
0.1419,1611
0.1472,1614
0.1529,1609
0.1583,1612
0.1639,1612
0.1696,1607
0.175,1613
0.1806,1612
0.1863,1607
0.1917,1610
0.1973,1610
0.203,1607
0.2084,1611
0.2139,1611
0.2196,1607
0.225,1610
0.2306,1614
0.2363,1611
0.2417,1608
0.2473,1612
0.253,1610
0.2583,1606
0.264,1615
0.2696,1608
0.2751,1609
