Experiment: April_27_Phage_Osmo_expt vial 3, Tue Apr 27 19:11:19 2021
0.0049,0.0
0.0106,-0.010192960730308176
0.016,-0.005307435653418846
0.0216,-0.011850558756317131
0.0273,0.006901552748412643
0.0327,-0.003657880187123874
0.0383,-0.008982697571353837
0.0439,-0.006532624324437464
0.0493,-0.0027984291848737186
0.0548,0.0032765793559823564
0.0605,-0.00041372634281389153
0.066,-0.002829287215304399
0.0716,0.0004468488737248144
0.077,-0.002045678050370814
0.0826,-0.008974758970882402
0.0883,-0.007356866284334851
0.0939,-0.008985867269146741
0.0992,-0.008143815480393224
0.1049,-0.009388804510740867
0.1105,-0.0057223198321458835
0.1159,-0.008165829261628899
0.1215,-0.007742631422666069
0.1272,-0.0012289014926942787
0.1327,-0.00041095151580194944
0.1383,-0.004489892369648807
0.1437,-0.000816400415952323
0.1493,-0.0023814783340800894
0.155,-0.0008121998332912828
0.1603,0.0028570305919981553
0.166,0.0016294704018653405
0.1716,0.002445263961128097
0.1772,-0.0004081734074203869
0.1827,9.68559590153184e-06
0.1883,0.002041398770009639
0.1937,0.004876176381750419
0.1994,0.005721375973126719
0.205,0.003260843115925116
0.2104,0.002443939761670455
0.216,0.012199371683145666
0.2216,0.003255623953527298
0.2273,0.0028517652287989304
0.2326,0.0036633694859540267
0.2382,0.005693816208297342
0.2439,-0.0004067831227132501
0.2492,0.003665959248116746
0.2549,0.0028504509388580512
0.2605,0.007323408444728674
0.2661,0.003250417916610182
0.2714,0.007728277647838677
0.2771,0.0016335024573428392
0.2827,0.004885018093494065
0.2883,0.0036763511104778157
0.2937,0.009770806532990228
0.2993,0.006919743754717489
0.305,0.007734270933434706
0.3103,0.00815101332248025
0.316,0.00489008854774009
0.3216,0.006118659513632219
0.3272,0.005693816208297342
0.3326,0.004888819703663616
0.3383,0.010584565117746969
0.3439,0.007743902848182493
0.3492,0.008967435114795252
0.3549,0.008143838999405295
0.3605,0.00855332038893497
0.3659,0.0077378767488978095
0.3715,0.009366178822860727
0.3772,0.0028530803390842685
0.3828,0.005703792001788832
0.3881,0.010581155096988759
0.3938,0.0020387280910296735
0.3994,0.002441293823771451
0.405,0.003671148616558595
0.4104,0.02111373616206058
0.416,0.00447742427523834
0.4217,0.0016456429222706515
0.427,0.005296332653284663
0.4327,0.003262149957378613
0.4383,0.0065136281493558545
0.4437,0.0065136281493558545
0.4493,0.009360355015609167
0.4549,0.006928296057362893
0.4606,0.006516087381722491
0.4659,0.004888819703663616
0.4716,0.007331879895966287
0.4772,0.012208138123209533
