Experiment: Mar_1_Turb_expt vial 12, Mon Mar  1 18:39:12 2021
0.0038,108
0.0094,107
0.0151,108
0.0204,109
0.0261,110
0.0318,106
0.0372,106
0.0429,106
0.0482,104
0.0539,103
0.0595,105
0.065,104
0.0707,107
0.0766,106
0.0817,105
0.0873,101
0.0927,105
0.0984,105
0.104,106
0.1094,105
0.115,106
0.1207,104
0.126,106
0.1317,105
0.1373,110
0.143,105
0.1483,104
0.154,104
0.1594,104
0.165,108
0.1707,105
0.1761,106
0.1817,106
0.1874,110
0.1928,105
0.1985,103
0.2039,105
0.2096,108
0.215,107
0.2205,107
0.2261,105
0.2315,104
0.2373,107
0.2427,105
0.2483,104
0.254,107
0.2594,107
0.265,106
0.2707,106
0.2761,103
0.2817,105
0.2874,104
0.2927,104
0.2984,104
0.304,105
0.3094,104
0.3151,105
0.3207,104
0.3261,106
0.3317,106
0.3374,108
0.3427,106
0.3484,106
0.354,105
0.3594,107
0.365,105
0.3707,105
0.3761,104
0.3817,106
0.3874,106
0.3927,105
0.3984,106
0.404,106
0.4094,103
0.415,105
0.4207,105
0.426,107
0.4317,109
0.4373,108
0.4429,107
0.4483,107
0.4539,106
0.4596,107
0.465,106
0.4706,109
0.476,107
0.4817,110
0.4873,105
0.4929,105
0.4983,103
0.504,105
0.5096,105
0.515,102
0.5206,110
0.5263,102
0.5316,108
0.5373,104
0.5429,106
0.5483,107
0.5539,106
0.5596,108
0.5649,104
0.5706,107
0.5762,110
0.5819,107
0.5872,109
0.5929,108
0.5982,107
0.6039,105
0.6095,103
0.6152,101
0.6205,103
0.6262,103
0.6318,105
0.6372,105
0.6428,106
0.6485,106
0.6539,106
0.6594,105
0.665,106
0.6706,104
0.6763,101
0.6817,106
0.6872,100
0.6928,103
0.6985,105
0.7038,101
0.7095,103
0.715,101
0.7206,99
0.7263,101
0.7316,104
0.7373,103
0.7428,105
0.7484,104
0.7541,104
0.7594,103
0.7651,102
0.7706,102
0.7763,102
0.7816,102
0.7873,105
0.7929,104
0.7983,102
0.8039,101
0.8096,103
0.8152,103
0.8206,103
0.8262,106
0.8316,103
0.8372,104
0.8429,103
0.8485,100
0.8539,104
0.8595,102
0.8649,104
0.8706,101
0.8762,104
0.8818,102
0.8872,105
0.8928,104
0.8985,103
0.9039,104
0.9095,105
0.9152,106
0.9205,104
0.9262,105
0.9318,105
0.9372,103
0.9428,103
0.9485,104
0.9539,102
0.9595,101
0.9652,105
0.9705,103
0.9762,104
0.9818,101
0.9872,107
0.9928,103
0.9985,108
1.0039,105
1.0095,102
1.0151,104
1.0208,103
1.0261,106
1.0318,105
1.0372,105
1.0428,105
1.0485,106
1.0539,105
1.0595,106
1.0651,104
1.0705,108
1.0761,102
1.0818,104
1.0872,101
1.0928,104
1.0985,103
1.1038,105
1.1095,101
1.1151,106
1.1205,103
1.1261,106
1.1318,104
1.1371,103
1.1428,105
1.1484,103
1.1541,105
1.1594,103
1.1651,103
1.1705,108
1.1761,104
1.1818,105
1.1874,104
1.1928,101
1.1984,102
1.2041,104
1.2095,102
1.2151,103
1.2205,107
1.2262,104
1.2318,102
1.2372,104
1.2428,104
1.2485,103
1.2538,103
1.2595,100
1.2651,105
1.2705,105
1.2762,105
1.2818,102
1.2874,104
1.2928,102
1.2984,105
1.3038,104
1.3095,102
1.3151,105
1.3208,106
1.3261,102
1.3318,104
1.3374,106
1.3428,103
1.3484,106
1.3541,101
1.3594,101
1.3651,104
1.3707,103
1.3761,104
1.3818,106
1.3871,106
1.3928,103
1.3984,101
1.4041,104
1.4094,101
1.4151,104
1.4208,102
1.4261,104
1.4318,105
1.4371,103
1.4428,105
1.4484,109
1.4538,104
1.4595,104
1.4651,103
1.4705,103
1.4762,104
1.4818,102
1.4872,103
1.4928,105
1.4985,103
1.5038,104
1.5095,103
1.5151,102
1.5205,104
1.5262,106
1.5316,105
1.5373,99
1.543,100
1.5483,102
1.554,103
1.5594,103
1.565,105
1.5706,103
1.5763,103
1.5817,103
1.5872,101
1.5929,101
1.5985,103
1.6039,99
1.6095,97
1.6151,101
1.6207,102
1.6261,103
1.6317,102
1.6373,101
1.6427,103
1.6484,103
1.654,106
1.6594,100
1.665,102
1.6706,102
1.6763,104
1.6817,104
1.6873,105
1.6927,103
1.6983,103
1.704,104
1.7094,103
1.715,104
1.7206,103
1.7263,103
1.7317,102
1.7373,102
1.743,101
1.7483,102
1.754,103
1.7596,106
1.765,105
1.7707,103
1.7763,106
1.7817,106
1.7873,104
1.7927,98
1.7983,106
1.804,102
1.8096,102
1.815,104
1.8206,105
1.8263,103
1.8317,102
1.8373,106
1.843,105
1.8483,105
1.854,103
1.8596,105
1.865,103
1.8707,105
1.876,102
1.8817,103
1.8871,104
1.8928,104
1.8984,107
1.904,102
1.9094,102
1.915,104
1.9207,104
1.926,105
1.9317,104
1.9373,106
1.9427,100
1.9483,107
1.954,101
1.9596,103
1.965,102
1.9706,102
1.9763,105
1.9816,102
1.9873,102
1.9929,103
1.9983,102
2.004,101
2.0096,103
2.0149,104
2.0206,103
2.0262,102
2.0318,104
2.0372,102
2.0429,102
2.0485,99
2.0539,103
2.0595,101
2.0651,104
2.0705,99
2.0761,101
2.0818,100
2.0874,102
2.0928,107
2.0983,101
2.1039,102
2.1096,104
2.1149,105
2.1206,104
2.1261,103
2.1317,103
2.1374,102
2.1427,100
2.1484,101
2.1539,102
2.1595,103
2.1652,103
2.1706,102
2.1762,105
2.1816,101
2.1872,99
2.1928,106
2.1985,104
2.2038,104
2.2095,104
2.2151,103
2.2205,101
2.2261,107
2.2318,102
2.2373,101
2.2427,103
2.2483,104
2.254,102
2.2596,106
2.265,99
2.2706,100
2.2763,99
2.2817,99
2.2873,102
2.2927,101
2.2984,101
2.304,101
2.3094,103
2.315,103
2.3207,101
2.3261,103
2.3317,103
2.3374,104
2.3427,101
2.3484,100
2.354,101
2.3594,101
2.365,102
2.3707,104
2.376,103
2.3817,102
2.3873,105
2.3927,102
2.3983,103
2.404,102
2.4096,101
2.415,106
2.4206,102
2.4263,104
2.4316,102
2.4373,100
2.4429,99
2.4483,99
2.454,101
2.4596,99
2.465,105
2.4706,100
2.4763,102
2.4816,105
2.4873,103
2.4929,103
2.4983,105
2.5039,105
2.5096,100
2.515,103
2.5206,104
2.5262,105
2.5316,105
2.5372,103
2.5429,103
2.5483,99
2.5539,101
2.5596,104
2.5649,105
2.5706,100
2.5762,102
2.5816,103
2.5872,107
2.5929,102
2.5982,103
2.6039,102
2.6095,104
2.6152,101
2.6205,100
2.6262,102
2.6318,103
2.6372,104
2.6429,105
2.6485,99
2.6539,103
2.6595,103
2.6649,102
2.6706,103
2.6762,106
2.6818,104
2.6872,102
2.6928,102
2.6982,104
2.7038,102
2.7095,107
2.7151,104
2.7205,106
2.7261,103
2.7318,103
2.7371,103
2.7428,107
2.7484,105
2.7538,106
2.7594,100
2.7651,105
2.7707,105
2.7762,104
2.7818,104
2.7872,104
2.7928,106
2.7982,101
2.8039,101
2.8095,103
2.8151,104
2.8205,101
2.8262,103
2.8318,103
2.8372,104
2.8428,103
2.8484,104
2.8538,102
2.8594,103
2.8651,99
2.8704,102
2.8761,103
2.8817,102
2.8874,102
2.8927,106
2.8984,103
2.904,102
2.9094,105
2.915,103
2.9207,101
2.9261,104
2.9317,105
2.9374,103
2.9426,104
2.9483,104
2.9539,103
2.9596,102
2.965,100
2.9705,100
2.9761,105
2.9818,102
2.9871,101
2.9928,104
2.9983,101
3.004,101
3.0093,99
3.015,104
3.0206,101
3.0261,105
3.0318,102
3.0371,102
3.0428,100
3.0482,103
3.0539,104
3.0595,103
3.0651,106
3.0705,104
3.0761,103
3.0817,101
3.0873,104
3.0927,103
3.0984,105
3.104,102
3.1094,102
3.115,102
3.1207,103
3.1261,105
3.1317,104
3.1373,104
3.1427,104
3.1483,104
3.154,104
3.1593,105
3.165,104
3.1706,105
3.176,107
3.1817,106
3.1873,106
3.1927,101
3.1983,110
3.204,104
3.2093,104
3.215,107
3.2206,108
3.2263,103
3.2316,104
3.2373,102
3.2426,102
3.2483,102
3.2539,101
3.2596,103
3.2649,102
3.2706,107
3.2762,107
3.2816,100
3.2872,107
3.2929,104
3.2983,103
3.3039,106
3.3095,103
3.3149,105
3.3206,102
3.3262,104
3.3316,103
3.3372,104
3.3429,104
3.3482,106
3.3539,103
3.3595,102
3.3649,105
3.3706,103
3.3762,103
3.3816,103
3.3872,101
3.3929,104
3.3985,102
3.4039,107
3.4093,104
3.4149,101
3.4206,103
3.4262,101
3.4316,102
3.4373,104
3.4426,105
3.4483,100
3.4539,102
3.4596,103
3.4649,101
3.4706,104
3.4762,103
3.4816,103
3.4872,103
3.4926,105
3.4983,104
3.5039,102
3.5096,101
3.5149,103
3.5206,102
3.5262,105
3.5316,102
3.5372,101
3.5429,102
3.5483,105
3.5539,105
3.5595,102
3.5649,107
3.5706,104
3.5762,102
3.5816,102
3.5872,103
3.5928,103
3.5983,102
3.6039,103
3.6095,101
3.615,107
3.6206,105
3.6263,103
3.6316,103
3.6373,99
3.6429,104
3.6483,102
3.6539,104
3.6595,105
3.6649,95
3.6705,98
3.6762,105
3.6815,100
3.6872,102
3.6928,101
3.6985,102
3.7038,102
3.7095,103
3.7151,101
3.7205,104
3.7261,106
3.7318,103
3.7371,105
3.7428,107
3.7484,104
3.7538,99
3.7594,103
3.7651,100
3.7704,101
3.7761,103
3.7817,103
3.7873,103
3.7927,99
3.7983,102
3.804,101
3.8093,102
3.815,105
3.8206,101
3.826,102
3.8316,103
3.8373,101
3.8427,101
3.8483,105
3.854,103
3.8594,104
3.865,101
3.8706,102
3.876,101
3.8816,99
3.8873,102
3.8927,102
3.8983,104
3.904,103
3.9093,105
3.915,102
3.9206,104
3.926,102
3.9316,103
3.9373,104
3.9429,103
3.9483,104
3.9539,104
3.9593,102
3.9649,101
3.9706,104
3.976,103
3.9816,105
3.9873,105
3.9929,103
3.9983,103
4.004,100
4.0093,100
4.015,102
4.0204,100
4.026,101
4.0317,100
4.0373,105
4.0427,104
4.0484,102
4.0538,103
4.0594,102
4.0651,102
4.0704,100
4.0761,99
4.0818,102
4.0872,103
4.0928,101
4.0985,99
4.1038,101
4.1095,98
4.1149,100
4.1205,99
4.1262,99
4.1315,102
4.1372,102
4.1429,99
4.1482,103
4.1539,101
4.1593,102
4.1649,98
4.1706,100
4.1762,100
4.1816,104
4.1872,106
4.1929,104
4.1982,106
4.2039,103
4.2095,105
4.2151,102
4.2205,102
4.2262,105
4.2315,103
4.2372,104
4.2429,101
4.2482,101
4.2539,101
4.2595,103
4.2648,103
4.2705,103
4.2761,101
4.2818,106
4.2871,103
4.2928,101
4.2984,103
4.3038,102
4.3094,100
4.315,102
4.3207,105
4.326,101
4.3317,104
4.3373,104
4.3427,104
4.3483,102
4.354,103
4.3593,104
4.365,102
4.3706,103
4.376,103
4.3816,102
4.3873,104
4.3929,105
4.3983,106
4.404,102
4.4093,105
4.415,104
4.4206,104
4.426,106
4.4316,102
4.4373,100
4.4426,102
4.4483,106
4.4539,100
4.4596,106
4.4649,105
4.4706,104
4.4762,106
4.4816,99
4.4872,100
4.4926,101
4.4983,107
4.5039,102
4.5096,105
4.5149,101
4.5204,102
4.5261,100
4.5317,102
4.5371,104
4.5427,104
4.5482,105
4.5539,103
4.5595,104
4.5649,105
4.5705,103
4.5761,102
4.5817,104
4.5871,100
4.5927,104
4.5984,101
4.6039,103
4.6095,103
4.6149,102
4.6203,101
4.626,103
4.6316,104
4.6373,99
4.6427,102
4.6483,106
4.654,103
4.6594,106
4.665,104
4.6706,99
4.676,105
4.6817,103
4.6873,101
4.6927,104
4.6983,101
4.704,103
4.7093,99
4.715,105
4.7204,104
4.726,104
4.7317,106
4.7373,106
4.7427,106
4.7483,106
4.7539,101
4.7593,99
4.765,104
4.7706,105
4.776,102
4.7816,105
4.7873,104
4.7926,102
4.7983,101
4.8039,103
4.8093,104
4.8149,106
4.8206,104
4.8259,102
4.8316,105
4.8372,108
4.8429,102
4.8482,108
4.8539,102
4.8595,103
4.8649,102
4.8706,107
4.8762,103
4.8816,104
4.8873,104
4.8926,101
4.8982,103
4.9039,103
4.9095,100
4.9149,100
4.9205,99
4.9262,100
4.9315,106
4.9372,108
4.9428,106
4.9484,111
4.9538,107
4.9594,100
4.9648,103
4.9704,106
4.9761,103
4.9818,101
4.9871,108
4.9928,104
4.9982,105
5.0038,105
5.0095,108
5.0149,104
5.0206,105
5.0259,103
5.0316,105
5.0373,107
5.0427,104
5.0483,106
5.0539,105
5.0593,109
5.065,102
5.0706,106
5.076,106
5.0817,104
5.0873,102
5.0926,105
5.0983,103
5.104,104
5.1094,103
5.115,105
5.1204,104
5.126,101
5.1317,102
5.1371,103
5.1427,102
5.1484,104
5.1537,103
5.1594,106
5.165,105
5.1704,104
5.1761,101
5.1817,102
5.1871,100
5.1927,102
5.1984,104
5.2038,104
5.2095,105
5.2148,104
5.2205,104
5.2262,106
5.2315,103
5.2372,103
5.2426,107
5.2482,105
5.2539,104
5.2593,104
5.265,104
5.2706,107
5.276,105
5.2817,105
5.287,108
5.2927,95
5.2984,100
5.3037,102
5.3094,101
5.3151,102
5.3204,103
5.3261,100
5.3315,97
5.3371,99
5.3428,98
5.3482,100
5.3538,105
5.3595,105
5.3649,104
5.3706,103
5.3762,106
5.3816,104
5.3873,103
5.3926,103
5.3983,104
5.4037,102
5.4093,104
5.415,103
5.4206,106
5.426,105
5.4317,103
5.4371,105
5.4427,103
5.4483,103
5.4537,104
5.4594,106
5.4648,104
5.4705,104
5.4761,106
5.4816,104
5.4872,103
5.4926,101
5.4983,103
5.5037,103
5.5093,102
5.515,104
5.5204,104
5.5261,103
5.5315,103
5.5371,105
5.5428,103
5.5482,106
5.5539,106
5.5593,105
