Experiment: Mar_1_Turb_expt vial 8, Mon Mar  1 18:39:09 2021
0.0038,0.0
0.0094,6.977821925602257e-06
0.0151,0.0003581511525125869
0.0204,0.000365131619199488
0.0261,0.0007023269410821875
0.0318,2.093683542625513e-05
0.0372,0.0010674312924559004
0.0429,0.0003372164917498921
0.0482,-0.0010466422318495816
0.0539,-0.0010257157206750023
0.0595,-0.0014048540061937231
0.065,-0.00034421218566382805
0.0707,6.977821925602257e-06
0.0766,-0.0017491389860451179
0.0817,-0.0006814659429332792
0.0873,-0.0017700462590055643
0.0927,6.977821925602257e-06
0.0984,-0.0013978822704459049
0.104,-0.000688442968202363
0.1094,0.0007093078060971258
0.115,-0.0006744877944471206
0.1207,-6.976698709859619e-06
0.126,0.0
0.1317,4.188377979996716e-05
0.1373,-0.00033025621525251125
0.143,-0.000695418870255704
0.1483,0.0
0.154,-0.00035816366321039794
0.1594,-0.000688442968202363
0.165,6.977821925602257e-06
0.1707,-0.0010396678513409086
0.1761,2.7918027001749834e-05
0.1817,0.0003511718090423166
0.1874,-6.976698709859619e-06
0.1928,-0.0010257157206750023
0.1985,0.0003372164917498921
0.2039,-0.00033723476206581893
0.2096,-6.976698709859619e-06
0.215,-0.00035816366321039794
0.2205,1.3956767068279419e-05
0.2261,-0.0010605876232179234
0.2315,0.0003511718090423166
0.2373,-0.00033025621525251125
0.2427,-0.0003232765452216846
0.2483,0.000716289794328695
0.254,1.3956767068279419e-05
0.2594,6.977821925602257e-06
0.265,6.977821925602257e-06
0.2707,-0.001053615489142068
0.2761,4.188377979996716e-05
0.2817,-0.00033723476206581893
0.2874,-0.00035118848604520636
0.2927,-0.0006744877944471206
0.2984,0.0003790959222222945
0.304,-0.0014048540061937231
0.3094,-0.0007093673047129379
0.3151,-0.0010396678513409086
0.3207,-0.0010466422318495816
0.3261,-0.000688442968202363
0.3317,-1.3952274203532511e-05
0.3374,0.00034419358878823303
0.3427,-0.00033025621525251125
0.3484,0.0
0.354,0.000365131619199488
0.3594,0.0007093078060971258
0.365,-0.0010466422318495816
0.3707,0.0007023269410821875
0.3761,-1.3952274203532511e-05
0.3817,-0.0007093673047129379
0.3874,-0.00035118848604520636
0.3927,-0.0006814659429332792
0.3984,0.0
0.404,0.0003372164917498921
0.4094,6.977821925602257e-06
0.415,6.977821925602257e-06
0.4207,0.0007093078060971258
0.426,0.0
0.4317,0.001053465396120501
0.4373,1.3956767068279419e-05
0.4429,2.093683542625513e-05
0.4483,6.977821925602257e-06
0.4539,0.00037211320910257584
0.4596,0.0007093078060971258
0.465,0.0007093078060971258
0.4706,0.000365131619199488
0.476,-0.00035118848604520636
0.4817,0.0007093078060971258
0.4873,0.001053465396120501
0.4929,0.0003372164917498921
0.4983,0.0007093078060971258
0.504,-0.00033723476206581893
0.5096,-0.001053615489142068
0.515,-0.0010396678513409086
0.5206,-0.00035118848604520636
0.5263,-0.000688442968202363
0.5316,0.00034419358878823303
0.5373,-0.00034421218566382805
0.5429,0.0010674312924559004
0.5483,-0.00034421218566382805
0.5539,0.0
0.5596,0.0007302571404403935
0.5649,-0.00035118848604520636
0.5706,6.977821925602257e-06
0.5762,0.00037211320910257584
0.5819,1.3956767068279419e-05
0.5872,0.0007093078060971258
0.5929,0.0013976043892673928
0.5982,-0.00034421218566382805
0.6039,0.0003511718090423166
0.6095,-0.0014118246187249106
0.6152,-0.001756109200247824
0.6205,-0.00033723476206581893
0.6262,-1.3952274203532511e-05
0.6318,-0.0010396678513409086
0.6372,-0.0006814659429332792
0.6428,-0.00037211064789177684
0.6485,-0.00033723476206581893
0.6539,-0.00035118848604520636
0.6594,0.0003581511525125869
0.665,-0.00035816366321039794
0.6706,0.0006953471992834359
0.6763,-0.0007023936490924143
0.6817,-0.0013769603239048855
0.6872,-0.0010326923476164929
0.6928,-0.0017491389860451179
0.6985,-0.000695418870255704
0.7038,-0.0017421676486253368
0.7095,-0.0017491389860451179
0.715,-0.001756109200247824
0.7206,-0.0014118246187249106
0.7263,-0.001053615489142068
0.7316,2.093683542625513e-05
0.7373,-0.0007023936490924143
