Experiment: Mar_5_Turb_expt vial 15, Fri Mar  5 17:59:36 2021
0.0053,0.0
0.0107,-0.00058051801825032
0.0164,0.0002835564381924449
0.0218,0.0014978266795824258
0.0275,0.00033702316929273834
0.0329,0.0005938301567687265
0.0384,2.673613732162572e-05
0.0441,0.0009040869797118933
0.0495,0.0005938301567687265
0.0552,0.0003236557510284399
0.0606,0.0009040869797118933
0.0663,0.0005804655953685067
0.0717,0.0008907233138713
0.0774,0.0008907233138713
0.0831,1.3367823497700826e-05
0.0885,-1.3367333171698803e-05
0.0942,0.0002969223854782932
0.0996,0.0012009641367412005
0.1052,0.0005938301567687265
0.1106,0.0006071952084949483
0.1163,0.0005671015242949551
0.1217,0.00033702316929273834
0.1274,0.00031028882309036554
0.1331,1.3367823497700826e-05
0.1385,1.3367823497700826e-05
0.1442,2.673613732162572e-05
0.1496,0.0002701909812332648
0.1553,0.0
0.1607,0.0005804655953685067
