Experiment: Mar_5_Turb_expt vial 14, Fri Mar  5 17:59:36 2021
0.0053,0.0
0.0107,0.0025067237881949422
0.0164,0.00608781438574868
0.0218,0.007855698726174754
0.0275,0.0038238732413924392
0.0329,0.0017276658016084356
0.0384,-0.0038563395528575795
0.0441,-0.005870562100556143
0.0495,-0.009207001557856032
0.0552,-0.0002980561635218537
0.0606,-0.002551334009828765
0.0663,-0.005402827327672055
0.0717,-0.011011379331642535
0.0774,-0.014067404658714922
0.0831,-0.00666568832106984
0.0885,-0.009221393299793212
0.0942,-0.012290441226699533
0.0996,-0.019204581849805336
0.1052,-0.01893382976586333
0.1106,-0.01610125395582529
0.1163,-0.01893382976586333
0.1217,-0.021725035786907876
0.1274,-0.01613012913055001
0.1331,-0.018450195575721806
0.1385,-0.008170140704619633
0.1442,-0.00692118375238171
0.1496,-0.0118075823232614
0.1553,-0.0033457657266802165
0.1607,-0.0028639562608178126
