Experiment: Mar_5_Turb_expt vial 8, Fri Mar  5 17:59:36 2021
0.0053,0.0
0.0107,0.0013981601516235287
0.0164,0.0007095707983890698
0.0218,0.0013981601516235287
0.0275,0.0006886613507646189
0.0329,0.0010399332218216095
0.0384,0.001756374570728525
0.0441,0.0010399332218216095
0.0495,-6.9667727857769535e-06
0.0552,0.0013911884158757104
0.0606,0.0010538747734440967
0.0663,0.0007095707983890698
0.0717,0.0021006235518137295
0.0774,0.002444853936024227
0.0831,0.0010469034360243157
0.0885,0.0014051330105875337
0.0942,0.0010469034360243157
0.0996,0.0014121069927672814
0.1052,0.0
0.1106,0.0010399332218216095
0.1163,0.001749400190219852
0.1217,-0.0003652543244188067
0.1274,0.0013981601516235287
0.1331,0.0010399332218216095
0.1385,0.0003443399738198849
0.1442,0.0010259961630638692
0.1496,0.001756374570728525
0.1553,0.0021006235518137295
0.1607,0.001756374570728525
