Experiment: Mar_5_Turb_expt vial 2, Fri Mar  5 17:59:36 2021
0.0053,0.0
0.0107,-0.01287302286768699
0.0164,-0.0029013023711803587
0.0218,-0.013751846515049015
0.0275,-0.0025716266846949054
0.0329,-0.005798507186643542
0.0384,-0.016394278825684783
0.0441,-0.022242001772149633
0.0495,-0.01933117954389374
0.0552,0.0009437660783344626
0.0606,-0.017388446935442836
0.0663,-0.017693369856903063
0.0717,-0.028721789470762094
0.0774,-0.016433145006293115
0.0831,-0.020595226528082433
0.0885,-0.006607157364364014
0.0942,-0.00888861396905205
0.0996,-0.023399676190671626
0.1052,-0.020989786473434524
0.1106,-0.019108720726153328
0.1163,-0.01751519396823742
0.1217,-0.015297151506836082
0.1274,-0.021558647287492017
0.1331,-0.018103020252675295
0.1385,-0.005568562829793899
0.1442,-0.012736737003770315
0.1496,-0.018272696074320693
0.1553,-0.014300990907893052
0.1607,-0.021807247464907586
