Experiment: Mar_5_Turb_expt vial 1, Fri Mar  5 17:59:36 2021
0.0053,0.0
0.0107,-0.0017793812937058062
0.0164,-0.0023847604634118502
0.0218,-0.005036795159644725
0.0275,-0.0030023253669717587
0.0329,-0.0032038885521323834
0.0384,-0.006871273701812175
0.0441,-0.005244513070799428
0.0495,-0.006472353820568655
0.0552,-0.0044306177696427085
0.0606,-0.005445312514284706
0.0663,-0.0038696995440350435
0.0717,-0.007307545561488937
0.0774,-0.002184000376719064
0.0831,-0.006646970748419689
0.0885,-0.0025972689651456715
0.0942,-0.004824169676386769
0.0996,-0.005634222949506995
0.1052,-0.005228751045232571
0.1106,-0.006241952706214304
0.1163,-0.006849958172326698
0.1217,-0.005229166811373753
0.1274,-0.004013691830677013
0.1331,-0.004419548603819656
0.1385,-0.005431919560539011
0.1442,-0.002597600285805024
0.1496,-0.0025981690365144416
0.1553,-0.004419512830292516
0.1607,-0.005026983425684972
