Experiment: Mar_5_Turb_expt vial 3, Fri Mar  5 17:59:36 2021
0.0053,0.0
0.0107,-0.003572555173049441
0.0164,-0.0019519699884871233
0.0218,-0.005916801879190858
0.0275,-0.009091815582128682
0.0329,-0.009090644067007325
0.0384,-0.013459065996527686
0.0441,-0.015454104821833736
0.0495,-0.013470409624562585
0.0552,-0.007103798756420865
0.0606,-0.018632729381947932
0.0663,-0.02181549303832897
0.0717,-0.0289939365901839
0.0774,-0.03458366206157448
0.0831,-0.04058792979084225
0.0885,-0.04659842085891319
0.0942,-0.05114555690428135
0.0996,-0.05250703989202066
0.1052,-0.05516860126476453
0.1106,-0.052460495977156185
0.1163,-0.053248535204871494
0.1217,-0.04741435300281527
0.1274,-0.048557243710002584
0.1331,-0.04860207874039202
0.1385,-0.045866507238731424
0.1442,-0.0493318527248503
0.1496,-0.045844705552500864
0.1553,-0.03815088807837874
0.1607,-0.03932912275977096
