Experiment: Mar_5_Turb_expt vial 4, Fri Mar  5 17:59:36 2021
0.0053,0.0
0.0107,-0.0007347612294328343
0.0164,-0.0004962764446325707
0.0218,-0.0015983878464247425
0.0275,-0.002094623857216149
0.0329,-0.002094623857216149
0.0384,-0.002710101537356735
0.0441,-0.0035736732992042164
0.0495,0.0006155194820962606
0.0552,-0.002710101537356735
0.0606,-0.003941030801996703
0.0663,-0.001231012868561976
0.0717,-0.005171925272451361
0.0774,-0.003206320307011623
0.0831,-0.0006155107835539297
0.0885,-0.0017272612821024325
0.0942,-0.002461990942933312
0.0996,-0.0014791374785296796
0.1052,-0.0007444134573511008
0.1106,-0.002958211325383431
0.1163,-0.0017272612821024325
0.1217,-0.004069876440517817
0.1274,-0.0017272612821024325
0.1331,-0.002461990942933312
0.1385,0.0003673738488103595
0.1442,-0.0023427406530149852
0.1496,-0.0033255705189514373
0.1553,-0.0013502686314357248
0.1607,-0.0018465062550205857
