Experiment: Mar_5_Turb_expt vial 5, Fri Mar  5 17:59:36 2021
0.0053,0.0
0.0107,0.004623263113445297
0.0164,-0.0010497253207406576
0.0218,-0.0038006202504156095
0.0275,-0.003497087571944224
0.0329,-0.007768097172480948
0.0384,-0.006447872066355109
0.0441,-0.008221082060480889
0.0495,-0.0015693339207886181
0.0552,-0.004238186620483253
0.0606,-0.005265874605191123
0.0663,0.003262595862280393
0.0717,-0.011987902026945885
0.0774,-0.009369391824174067
0.0831,0.0008528230824905725
0.0885,-0.012779276497908554
0.0942,-0.013275661437599062
0.0996,0.014116279815943988
0.1052,-0.006894463129683004
0.1106,-0.010684306171539037
0.1163,-0.007775253173232466
0.1217,-0.008879580028304024
0.1274,-0.005524223669111428
0.1331,-0.005305333517624633
0.1385,-0.009356270663025357
0.1442,-0.015232091048982044
0.1496,-0.014120581488066053
0.1553,-0.017548105592683272
0.1607,-0.0065397926624651825
