Experiment: T3_Aug_19_pumped_od_cal_expt vial 9, Thu Aug 19 18:27:13 2021
0.0032,22396
0.0086,22405
0.0143,22381
0.0197,22317
0.0254,22322
0.0308,22347
0.0365,22360
0.0419,22327
0.0476,22356
0.053,22348
0.0585,22844
0.0642,22816
0.0696,22785
0.0753,22786
0.081,22814
0.0864,22754
0.0921,22830
0.0974,22805
0.1031,22752
0.1085,23168
0.1142,23164
0.1196,23203
0.1252,23192
0.1309,23236
0.1363,23186
0.142,23134
0.1474,23207
0.153,23191
0.1587,23230
0.1642,23553
0.1699,23649
0.1753,23614
0.1808,23602
0.1865,23615
0.1919,23628
0.1976,23681
0.203,23627
0.2086,23664
0.2141,23648
0.2198,24060
0.2252,24021
0.2309,24039
0.2363,24050
0.242,24050
0.2474,24050
0.2531,24083
0.2588,24092
0.2642,24093
0.2697,24429
0.2754,24429
0.2808,24471
0.2865,24455
0.2919,24483
0.2976,24475
0.303,24516
0.3087,24472
0.3141,24487
0.3198,24493
0.3253,24854
0.3307,24887
0.3364,24873
0.3421,24868
0.3474,24860
0.3531,24879
0.3586,24899
0.3643,24902
0.3697,24881
0.3754,24890
0.3808,25294
0.3865,25293
0.3919,25279
0.3976,25289
0.403,25203
0.4087,25288
0.4141,25295
0.4198,25278
0.4252,25293
0.4309,25312
0.4363,25617
0.4421,25656
0.4475,25636
0.4532,25653
0.4586,25660
0.4643,25672
0.4697,25675
0.4753,25678
0.4807,25691
0.4864,25668
0.4919,25979
0.4976,25992
0.503,26026
0.5087,26042
0.5141,26030
0.5198,26016
0.5252,26005
0.5309,26037
0.5363,26044
0.542,26040
0.5474,26377
0.5532,26379
0.5586,26338
0.5643,26381
0.5697,26378
0.5754,26378
0.5808,26402
0.5865,26388
0.5919,26327
0.5976,26371
0.603,26725
0.6087,26724
0.6141,26725
0.6198,26727
0.6252,26737
0.6309,26752
0.6365,26739
0.6419,26754
0.6476,26739
0.653,26709
0.6587,27067
0.6641,27071
0.6698,27054
0.6752,27048
0.6809,27052
0.6863,27030
0.692,27032
0.6974,27037
0.7031,27040
0.7086,27355
0.7142,27351
0.7197,27348
0.7253,27343
0.7307,27352
0.7364,27328
0.7419,27361
0.7475,27375
0.753,27383
0.7586,27380
0.7641,27327
0.7698,27621
0.7752,27621
0.7809,27620
0.7863,27640
0.792,27630
0.7974,27646
0.803,27645
0.8087,27660
0.8142,27883
0.8199,27881
0.8253,27877
0.831,27871
0.8364,27887
0.8421,27876
0.8475,27874
0.8532,27864
0.8586,27893
0.8643,27878
0.8698,27918
0.8754,28054
0.8808,28052
0.8865,28047
0.8919,28035
0.8976,28043
0.903,28048
0.9087,28046
0.9141,28056
0.9198,28057
0.9253,28127
0.931,28189
0.9364,28191
0.942,28183
0.9474,28197
0.9531,28201
0.9585,28199
0.9642,28216
0.9697,28197
0.9753,28218
0.9808,28198
0.9865,28253
0.9919,28253
0.9976,28257
1.003,28258
1.0087,28251
1.0142,28266
1.0199,28264
1.0253,28293
1.0308,28283
1.0365,28133
1.0419,28224
1.0476,28237
1.053,28247
1.0587,28249
1.0641,28245
1.0698,28249
