Experiment: Apr24_2022_tst_expt vial 4, Sun Apr 24 16:07:10 2022
0.0019,17716
0.0065,19043
0.0119,16742
0.0175,20782
0.0232,20634
0.0288,15975
0.0342,16141
0.0398,17130
0.0455,16458
0.0508,21687
0.0565,17294
0.0621,18156
0.0675,20136
0.0731,17882
0.0787,18524
0.0844,19389
0.0897,20056
0.0954,20414
0.101,18934
0.1063,18059
0.112,19279
0.1176,17259
0.1232,16843
0.1286,18570
0.1342,18391
0.1399,17580
0.1455,16815
0.1509,21009
0.1565,17381
0.1621,16470
0.1675,18906
0.1731,15986
0.1786,17964
0.1843,19267
0.1896,16978
0.1953,17143
0.2009,19387
0.2066,18836
0.2119,16094
0.2176,17371
0.2232,18462
0.2286,15308
0.2342,18625
0.2398,16062
0.2454,19417
0.2508,17495
0.2564,16901
0.2621,21086
0.2677,18297
0.2731,21473
0.2787,17463
0.2843,19426
0.2897,17103
0.2953,18439
0.3008,15164
0.3065,14250
0.3121,18444
0.3175,16704
0.3231,15508
0.3287,14292
0.3344,17353
0.3398,16926
0.3452,19384
0.3508,18017
0.3565,18441
0.3621,20220
0.3675,16285
0.373,15071
0.3787,19975
0.3843,19871
0.3899,17626
0.3953,18442
0.4009,17836
0.4066,18975
0.4119,16758
0.4176,18499
0.423,13740
0.4287,20491
0.4343,18471
0.4397,18302
0.4453,17274
0.4509,17002
0.4566,20466
0.4619,19906
0.4676,16608
0.4732,19872
0.4788,18197
0.4842,14017
0.4898,16110
0.4955,18407
0.5008,18175
0.5065,19117
0.5121,19274
0.5177,15605
0.5231,17535
0.5287,16825
0.5344,16389
0.5397,16249
0.5454,20094
0.551,17013
0.5564,17425
0.562,16767
0.5677,14338
0.573,17077
0.5787,18257
0.5843,15420
0.5899,17231
0.5953,15538
0.6009,16549
0.6066,19305
0.6119,17703
0.6176,18080
0.6232,15139
0.6288,18950
0.6342,18183
0.6398,17935
0.6455,18271
0.6508,19224
0.6565,18686
0.6621,18728
0.6675,16660
0.6732,16611
0.6789,13280
0.6843,15630
0.6897,18818
0.6953,20661
0.7009,19669
0.7064,16480
0.712,19462
0.7177,19676
0.723,175
0.7287,54195
0.7342,54367
0.7398,54322
0.7452,53843
0.7508,54541
0.7564,54517
0.762,54521
0.7675,54528
0.7731,54536
0.7787,54533
0.7844,54524
0.7897,54504
0.7954,54492
0.801,54366
0.8064,54392
0.8121,54201
0.8176,54192
