Experiment: Apr24_2022_tst_expt vial 3, Sun Apr 24 16:07:10 2022
0.0019,53462
0.0065,53419
0.0119,53427
0.0175,53483
0.0232,53468
0.0288,53523
0.0342,53525
0.0398,53545
0.0455,53528
0.0508,53515
0.0565,53575
0.0621,53630
0.0675,53646
0.0731,53644
0.0787,53678
0.0844,53670
0.0897,53725
0.0954,53729
0.101,53737
0.1063,53762
0.112,53758
0.1176,53746
0.1232,53778
0.1286,53793
0.1342,53756
0.1399,53749
0.1455,53667
0.1509,53693
0.1565,53614
0.1621,53578
0.1675,53543
0.1731,53541
0.1786,53505
0.1843,53496
0.1896,53469
0.1953,53435
0.2009,53464
0.2066,53501
0.2119,53614
0.2176,53784
0.2232,53890
0.2286,54028
0.2342,54025
0.2398,54010
0.2454,53852
0.2508,53867
0.2564,53819
0.2621,53795
0.2677,53819
0.2731,53824
0.2787,53845
0.2843,53858
0.2897,53868
0.2953,53860
0.3008,53863
0.3065,53896
0.3121,53868
0.3175,53902
0.3231,53904
0.3287,53926
0.3344,53907
0.3398,53851
0.3452,53932
0.3508,53947
0.3565,53964
0.3621,53961
0.3675,53942
0.373,53937
0.3787,53973
0.3843,53980
0.3899,53977
0.3953,53983
0.4009,53990
0.4066,53969
0.4119,54009
0.4176,53994
0.423,54009
0.4287,54008
0.4343,54001
0.4397,53999
0.4453,54007
0.4509,53999
0.4566,53996
0.4619,53974
0.4676,53969
0.4732,53955
0.4788,53947
0.4842,53962
0.4898,53945
0.4955,53953
0.5008,53948
0.5065,53949
0.5121,53941
0.5177,53932
0.5231,53979
0.5287,53975
0.5344,54018
0.5397,54018
0.5454,54022
0.551,54033
0.5564,54032
0.562,54023
0.5677,54035
0.573,54028
0.5787,54043
0.5843,54041
0.5899,54032
0.5953,54032
0.6009,54026
0.6066,54021
0.6119,54025
0.6176,54021
0.6232,54030
0.6288,54026
0.6342,54039
0.6398,54034
0.6455,54048
0.6508,54046
0.6565,54058
0.6621,54060
0.6675,54050
0.6732,54062
0.6789,54065
0.6843,54085
0.6897,54086
0.6953,54084
0.7009,54097
0.7064,54109
0.712,54102
0.7177,54095
0.723,54087
0.7287,54104
0.7342,54108
0.7398,54101
0.7452,54109
0.7508,54116
0.7564,54133
0.762,54133
0.7675,54145
0.7731,54136
0.7787,54143
0.7844,54155
0.7897,54158
0.7954,54153
0.801,54154
0.8064,54160
0.8121,54148
0.8176,54146
