Experiment: Feb_19_eric7_chem_expt vial 14, Thu Feb 18 15:47:19 2021
0.0023,0.0
0.0072,0.0017103271302834067
0.0125,0.0010765898479422331
0.0182,0.0019250050973618205
0.0236,0.0023493863721056885
0.0292,0.001736554977396887
0.0349,0.0030120447790025207
0.0403,0.0025874580051035156
0.046,0.0034441584287856486
0.0516,0.0025900137162888637
0.057,0.003867558823964945
0.0627,0.0038680634952898973
0.0681,0.003011033376797756
0.0737,0.004079494238638848
0.0794,0.004082516253927193
0.0848,0.003869580258793359
0.0905,0.004292919311346344
0.0959,0.003657640590895128
0.1015,0.004509335517152491
0.1072,0.00514990377214164
0.1126,0.004722712739155033
0.1182,0.005145407595541163
0.1236,0.004086571269943384
0.1293,0.00514990377214164
0.135,0.004937073175367845
0.1403,0.004723719105736102
0.1459,0.006211784464663084
0.1516,0.004938583843209221
0.157,0.0045083294376288
0.1627,0.006002522336632787
0.1681,0.0055705373233624345
0.1738,0.0055705373233624345
0.1849,0.005999542062365859
0.1905,0.004082011439074051
0.196,0.0032326982020324246
0.4459,0.0074917026331607905
0.4516,0.007495636711240761
0.457,0.00728303651337725
0.4627,0.007063516848769713
0.4681,0.006852334884118183
0.4738,0.007494157995045381
0.4792,0.0036596779488015097
0.4849,0.003659167921942097
0.4906,0.00450133820556009
0.496,0.004504323449747716
0.5016,0.0042944259378949745
0.507,0.002375398316941224
