Experiment: Feb_19_eric7_chem_expt vial 11, Thu Feb 18 15:47:19 2021
0.0023,0.0
0.0072,5.11267203360255e-05
0.0125,-0.0006385937930772911
0.0182,-0.0006130162614090828
0.0236,-0.001081438547340774
0.0292,-0.00354377133523176
0.0349,-0.003424723213054315
0.0403,-0.004831632601318581
0.046,-0.0050790225310657355
0.0516,-0.002069733793249817
0.057,-0.0016011349131055397
0.0627,-0.001899434681471912
0.0681,0.0005873896937451661
0.0737,0.00024692013062566076
0.0794,-0.00044276656794828284
0.0848,-0.001277290931765318
0.0905,-0.0004939144015772001
0.0959,-0.0014052553885770536
0.1015,-2.5564073084849426e-05
0.1072,-0.001081438547340774
0.1126,-0.0004939144015772001
0.1182,-0.001132614248696262
0.1236,5.11267203360255e-05
0.1293,-0.0023680978729092583
0.135,-0.0008600088541745876
0.1403,-0.0031262263851050687
0.1459,0.00010225153956378019
0.1516,-0.0025127925567058895
0.157,0.00022136133586769802
0.1627,0.00046826203138383704
0.1681,-0.0015499390490107956
0.1738,-0.0006897502822471591
0.1849,-0.0007153292397479305
0.1905,-0.0014308497057703429
0.196,-0.001132614248696262
0.4459,0.0034973145548117257
0.4516,0.004015950821187553
0.457,0.004186069175191043
0.4627,0.001183277680553596
0.4681,0.0014045514469434028
0.4738,0.0043052498058585575
0.4792,0.0030805520228364136
0.4849,0.005146580479721274
0.4906,0.0057586183610481845
0.496,0.00573317864161671
0.5016,0.006327651779989951
0.507,0.004628173611655462
