Experiment: Apr29_NP_tst_expt vial 15, Fri Apr 29 15:50:36 2022
0.0017,107
0.0067,106
0.0124,103
0.018,101
0.0233,108
0.0289,105
0.0346,104
0.0402,106
0.0456,107
2.857,105
2.8626,103
2.8679,105
2.8737,104
2.879,106
2.8847,105
2.8903,104
2.8957,106
2.9013,101
2.9069,101
2.9126,102
2.9179,101
2.9236,107
2.9293,106
2.9346,102
2.9403,103
2.9459,109
2.9513,103
2.9569,104
2.9625,105
2.9679,103
2.9735,103
2.9792,106
2.9848,105
2.9901,106
2.9958,103
3.0014,101
3.0068,106
3.0125,106
3.0182,105
3.0235,105
3.0292,105
3.0348,105
3.0402,104
3.0458,107
3.0513,102
3.057,102
3.0626,102
3.0679,106
3.0736,103
3.0791,103
3.0847,102
3.0904,103
3.0957,106
3.1013,103
3.1069,107
3.1126,102
3.1179,104
3.1235,102
3.1291,105
3.1348,104
3.1404,105
3.1457,105
3.1514,105
3.157,104
3.1626,104
3.1679,104
3.1735,109
3.1792,107
3.1848,105
3.1902,105
3.1958,107
3.2014,104
3.2068,104
3.2124,104
3.218,102
3.2237,105
3.229,106
3.2346,109
3.2403,105
3.246,104
3.2513,106
3.2569,110
3.2626,105
3.2679,106
3.2735,108
3.2792,103
3.2848,104
3.2901,100
3.2958,101
3.3014,100
3.307,101
3.3124,104
3.318,102
3.3236,105
3.3292,100
3.3349,104
3.3402,103
3.3458,104
3.3515,108
3.3571,104
3.3624,104
3.3681,107
3.3737,100
3.3793,101
3.3846,107
3.3903,105
3.3959,106
3.4013,108
3.4069,103
3.4125,105
3.4182,106
3.4235,105
3.4291,106
3.4348,103
3.4404,104
3.4458,107
3.4514,106
3.457,102
3.4624,105
3.468,103
3.4736,106
3.4792,104
3.4846,109
3.4902,105
3.4958,104
3.5014,106
3.5068,106
3.5124,108
3.518,105
3.5237,108
3.529,105
3.5346,109
3.5402,105
3.5459,102
3.5515,107
3.5568,107
3.5624,105
3.5681,107
3.5737,106
3.579,102
3.5846,103
3.5902,105
3.5959,103
3.6015,106
3.6068,106
3.6125,102
3.618,105
3.6237,104
3.6293,104
3.6346,104
3.6403,104
3.6458,105
3.6515,104
3.6571,106
3.6624,102
3.668,104
3.6736,105
3.6793,104
3.6846,102
3.6903,107
3.6959,104
3.7012,109
3.7069,107
3.7125,107
3.7181,108
3.7234,101
3.7291,100
3.7347,100
3.7403,99
3.746,101
3.7513,105
3.7569,106
3.7625,100
3.7682,109
3.7735,106
3.7791,103
3.7848,105
3.7904,103
3.7957,104
3.8013,106
3.807,107
3.8126,104
3.8182,102
3.8235,102
3.8292,103
3.8348,106
3.8404,105
3.8458,106
3.8514,101
3.8571,106
3.8624,103
3.868,103
3.8737,104
3.879,102
3.8846,104
3.8903,107
3.8959,105
3.9015,105
3.9069,106
3.9125,106
3.9181,106
3.9237,105
3.9291,105
3.9347,104
3.9403,105
3.946,104
3.9513,105
3.957,104
3.9626,104
3.9679,105
3.9736,105
3.9792,105
3.9848,103
3.9902,107
3.9958,105
4.0014,103
4.0071,104
4.0124,105
4.018,106
4.0237,101
4.0293,104
4.0346,106
4.0403,108
