Experiment: July_9_negative_cntrl_expt vial 3, Fri Jul  9 17:30:37 2021
0.0025,0.0
0.0082,-0.0020144144313256618
0.0135,0.0011248340061591477
0.0192,0.0002353375692329962
0.0248,0.0002353375692329962
0.0305,-0.0006541728307354333
0.0358,0.00047067595881244984
0.0413,-0.0006541728307354333
0.047,0.0015954901459380721
0.0526,-0.0008895211298316497
0.0579,-0.006514333661534977
0.0636,-0.0006541728307354333
0.0691,0.0013601616658753812
0.0748,-0.0013602152669882628
0.0804,-0.0031393423352419347
0.0858,-0.0020144144313256618
0.0914,0.00047067595881244984
0.0969,0.0
0.1026,-0.0020144144313256618
0.1082,-0.0011248686085814086
0.1136,-0.0008895211298316497
0.1192,0.0013601616658753812
0.1247,-0.0038454417675630737
0.1304,-0.004735058435834105
0.136,0.0009413551989894131
0.1414,0.001830819446340115
0.147,0.002955589121523161
0.1526,-0.0031393423352419347
0.1582,0.0011248340061591477
0.1635,-0.0006541728307354333
0.1692,-0.0008895211298316497
0.1748,-0.0031393423352419347
0.1802,-0.0017790562227162354
0.1858,0.002249633409892482
0.1914,0.0
0.1971,0.0015954901459380721
0.2024,-0.0011248686085814086
0.2081,0.0007060151687312555
0.2137,0.001830819446340115
0.2191,-0.0008895211298316497
0.2247,-0.0031393423352419347
0.2304,-0.0024851283875158003
0.2358,-0.0022497718195921834
0.2414,-0.0036100761104655987
0.2471,-0.0006541728307354333
0.2524,0.002014316480035916
0.2581,-0.004028926813937517
0.2637,0.0011248340061591477
0.2691,-0.004028926813937517
0.2747,-0.0031393423352419347
0.2804,0.0024849511600955054
0.286,0.0002353375692329962
0.2914,-0.0022497718195921834
0.297,0.004969725092767163
0.3027,-0.0011248686085814086
0.308,0.004263831299258669
0.3136,-0.003374709633025219
0.3193,-0.002301593697193738
0.3246,-0.0008895211298316497
0.3303,0.0011248340061591477
0.3359,-0.003374709633025219
0.3415,-0.0031393423352419347
0.3469,0.002955589121523161
0.3526,-0.0006541728307354333
0.3582,-0.0008895211298316497
0.3635,0.00047067595881244984
0.3692,-0.0036100761104655987
0.3748,0.0011248340061591477
0.3805,-0.0020144144313256618
0.3858,-0.0022497718195921834
0.3915,-0.0022497718195921834
0.3971,0.00047067595881244984
0.4025,0.0002353375692329962
0.4081,-0.0022497718195921834
0.4138,-0.0022497718195921834
0.4192,0.0015954901459380721
0.4248,0.0013601616658753812
0.4302,0.0
0.4358,-0.0008895211298316497
0.4415,0.0011248340061591477
0.4471,0.001830819446340115
0.4525,0.002720269730637881
0.4581,-0.0020144144313256618
0.4638,-0.0020144144313256618
0.4691,-0.0022497718195921834
0.4748,-0.0042643048415804685
0.4804,-0.005153914013185101
0.4858,0.0
0.4914,-0.0013602152669882628
0.4971,0.0002353375692329962
0.5024,-0.00041882371130341767
0.5081,-0.0015955611050522123
0.5137,-0.00047067267744083097
0.5193,-0.0017790562227162354
0.5247,0.0
0.5304,-0.0022497718195921834
0.536,-0.0011248686085814086
0.5414,-0.00023533674889009149
0.547,-0.0031393423352419347
0.5526,-0.006095460839762978
0.558,-0.0031393423352419347
0.5636,-0.003374709633025219
0.5693,-0.0020144144313256618
0.5749,0.0002353375692329962
0.5802,-0.003793547965955213
0.5859,-0.004028926813937517
0.5915,0.0007060151687312555
0.5969,-0.006933174245549623
0.6025,-0.003374709633025219
0.6082,-0.006749730687868549
0.6138,-0.004028926813937517
0.6191,-0.0013602152669882628
0.6248,-0.0017790562227162354
0.6304,-0.00041882371130341767
0.6358,-0.0030874064999508732
0.6414,-0.0011248686085814086
0.6471,0.00047067595881244984
0.6527,-0.0029039742171157457
0.6581,-0.0042643048415804685
0.6637,-0.0006541728307354333
0.6694,-0.0029039742171157457
0.6748,-0.0011248686085814086
0.6804,-0.0029039742171157457
0.6858,0.0013601616658753812
0.6914,-0.0006541728307354333
0.697,-0.00041882371130341767
0.7027,0.00047067595881244984
0.708,-0.0011248686085814086
0.7137,-0.0022497718195921834
0.7193,-0.0017790562227162354
0.7247,-0.0031393423352419347
0.7303,-0.0013083373444722213
0.7359,0.002955589121523161
0.7416,-0.0020144144313256618
0.7469,-0.00041882371130341767
0.7526,5.187698859288048e-05
0.7582,-0.005389301950344816
0.7636,-0.005808137660487489
0.7692,0.00047067595881244984
0.7748,0.0009413551989894131
0.7802,-0.002433235519838206
0.7859,0.002014316480035916
0.7915,-0.0029039742171157457
0.7971,-0.0001834737715249446
0.8025,-0.0006541728307354333
0.8081,0.0024849511600955054
0.8138,0.0
0.8191,-0.0013083373444722213
0.8248,-0.0006541728307354333
0.8304,0.00047067595881244984
0.8358,0.002955589121523161
0.8414,-0.004499682048880516
0.847,-0.003374709633025219
0.8527,-0.005153914013185101
0.858,-0.006514333661534977
