Experiment: July_9_negative_cntrl_expt vial 1, Fri Jul  9 17:30:40 2021
0.0025,52077
0.0082,52137
0.0135,52069
0.0192,52120
0.0248,51944
0.0305,52130
0.0358,52004
0.0413,52143
0.047,52075
0.0526,52065
0.0579,52078
0.0636,52118
0.0691,52050
0.0748,51990
0.0804,51991
0.0858,51993
0.0914,52085
0.0969,52071
0.1026,52102
0.1082,52054
0.1136,52054
0.1192,52050
0.1247,52049
0.1304,52063
0.136,52070
0.1414,52106
0.147,52076
0.1526,52006
0.1582,52034
0.1635,51998
0.1692,52065
0.1748,52096
0.1802,51997
0.1858,52110
0.1914,52077
0.1971,52046
0.2024,52025
0.2081,52052
0.2137,52075
0.2191,52034
0.2247,52106
0.2304,51930
0.2358,52045
0.2414,52055
0.2471,51977
0.2524,52067
0.2581,52060
0.2637,52109
0.2691,52073
0.2747,52059
0.2804,52086
0.286,52070
0.2914,52105
0.297,52107
0.3027,52088
0.308,52093
0.3136,52105
0.3193,52026
0.3246,52008
0.3303,52089
0.3359,52100
0.3415,52088
0.3469,52064
0.3526,52034
0.3582,52097
0.3635,52026
0.3692,52098
0.3748,52097
0.3805,52092
0.3858,52064
0.3915,52067
0.3971,52101
0.4025,52104
0.4081,52103
0.4138,52015
0.4192,52027
0.4248,52079
0.4302,52099
0.4358,52059
0.4415,52040
0.4471,52036
0.4525,52104
0.4581,52104
0.4638,52029
0.4691,52093
0.4748,52072
0.4804,52111
0.4858,52102
0.4914,52108
0.4971,52107
0.5024,52104
0.5081,52107
0.5137,52106
0.5193,52100
0.5247,52093
0.5304,52078
0.536,52063
0.5414,52111
0.547,52098
0.5526,52099
0.558,52064
0.5636,52114
0.5693,52105
0.5749,52096
0.5802,52064
0.5859,52105
0.5915,52066
0.5969,52095
0.6025,52093
0.6082,52074
0.6138,52086
0.6191,52099
0.6248,52058
0.6304,52102
0.6358,52050
0.6414,52066
0.6471,52086
0.6527,52088
0.6581,52092
0.6637,52101
0.6694,52098
0.6748,52088
0.6804,52097
0.6858,52102
0.6914,52104
0.697,52085
0.7027,52070
0.708,52090
0.7137,52104
0.7193,52083
0.7247,52099
0.7303,52105
