Experiment: Apr24_2022_tst_expt vial 0, Sun Apr 24 16:07:10 2022
0.0019,1508
0.0065,1505
0.0119,1510
0.0175,1523
0.0232,1540
0.0288,1553
0.0342,1567
0.0398,1576
0.0455,1586
0.0508,1594
0.0565,1599
0.0621,1594
0.0675,1593
0.0731,1600
0.0787,1594
0.0844,1594
0.0897,1596
0.0954,1592
0.101,1595
0.1063,1599
0.112,1596
0.1176,1597
0.1232,1600
0.1286,1593
0.1342,1601
0.1399,1599
0.1455,1595
0.1509,1599
0.1565,1595
0.1621,1600
0.1675,1597
0.1731,1595
0.1786,1601
0.1843,1596
0.1896,1598
0.1953,1600
0.2009,1596
0.2066,1601
0.2119,1596
0.2176,1598
0.2232,1601
0.2286,1595
0.2342,1601
0.2398,1598
0.2454,1595
0.2508,1601
0.2564,1596
0.2621,1594
0.2677,1601
0.2731,1596
0.2787,1598
0.2843,1599
0.2897,1595
0.2953,1600
0.3008,1597
0.3065,1595
0.3121,1603
0.3175,1596
0.3231,1597
0.3287,1601
0.3344,1596
0.3398,1595
0.3452,1600
0.3508,1597
0.3565,1596
0.3621,1598
0.3675,1596
0.373,1599
0.3787,1599
0.3843,1594
0.3899,1600
0.3953,1598
0.4009,1593
0.4066,1602
0.4119,1597
0.4176,1593
0.423,1602
0.4287,1595
0.4343,1594
0.4397,1601
0.4453,1596
0.4509,1596
0.4566,1601
0.4619,1596
0.4676,1593
0.4732,1599
0.4788,1595
0.4842,1600
0.4898,1599
0.4955,1595
0.5008,1597
0.5065,1600
0.5121,1594
0.5177,1599
0.5231,1595
0.5287,1597
0.5344,1599
0.5397,1595
0.5454,1597
0.551,1599
0.5564,1594
0.562,1599
0.5677,1598
0.573,1596
0.5787,1599
0.5843,1598
0.5899,1598
0.5953,1599
0.6009,1596
0.6066,1597
0.6119,1601
0.6176,1596
0.6232,1596
0.6288,1599
0.6342,1594
0.6398,1597
0.6455,1597
0.6508,1594
0.6565,1601
0.6621,1597
0.6675,1595
0.6732,1599
0.6789,1595
0.6843,1595
0.6897,1602
0.6953,1594
0.7009,1597
0.7064,1598
0.712,1595
0.7177,1596
0.723,1604
0.7287,1610
0.7342,1604
0.7398,1596
0.7452,1595
0.7508,1601
0.7564,1598
0.762,1594
0.7675,1599
0.7731,1597
0.7787,1595
0.7844,1601
0.7897,1598
0.7954,1596
0.801,1600
0.8064,1596
0.8121,1596
0.8176,1599
