Experiment: Apr24_2022_tst_expt vial 4, Sun Apr 24 16:07:10 2022
0.0019,1634
0.0065,1635
0.0119,1637
0.0175,1632
0.0232,1623
0.0288,1613
0.0342,1615
0.0398,1619
0.0455,1624
0.0508,1619
0.0565,1616
0.0621,1619
0.0675,1622
0.0731,1618
0.0787,1616
0.0844,1620
0.0897,1624
0.0954,1617
0.101,1616
0.1063,1621
0.112,1620
0.1176,1617
0.1232,1620
0.1286,1620
0.1342,1620
0.1399,1617
0.1455,1620
0.1509,1621
0.1565,1618
0.1621,1617
0.1675,1621
0.1731,1619
0.1786,1618
0.1843,1620
0.1896,1621
0.1953,1617
0.2009,1617
0.2066,1620
0.2119,1620
0.2176,1617
0.2232,1618
0.2286,1623
0.2342,1616
0.2398,1617
0.2454,1623
0.2508,1621
0.2564,1616
0.2621,1618
0.2677,1624
0.2731,1620
0.2787,1617
0.2843,1619
0.2897,1621
0.2953,1616
0.3008,1618
0.3065,1622
0.3121,1619
0.3175,1618
0.3231,1621
0.3287,1621
0.3344,1617
0.3398,1619
0.3452,1620
0.3508,1617
0.3565,1618
0.3621,1619
0.3675,1620
0.373,1618
0.3787,1619
0.3843,1622
0.3899,1617
0.3953,1615
0.4009,1622
0.4066,1620
0.4119,1618
0.4176,1618
0.423,1623
0.4287,1618
0.4343,1617
0.4397,1622
0.4453,1618
0.4509,1617
0.4566,1621
0.4619,1621
0.4676,1617
0.4732,1620
0.4788,1620
0.4842,1619
0.4898,1617
0.4955,1622
0.5008,1619
0.5065,1617
0.5121,1618
0.5177,1622
0.5231,1616
0.5287,1617
0.5344,1620
0.5397,1621
0.5454,1618
0.551,1619
0.5564,1621
0.562,1615
0.5677,1619
0.573,1622
0.5787,1617
0.5843,1618
0.5899,1621
0.5953,1620
0.6009,1617
0.6066,1619
0.6119,1622
0.6176,1615
0.6232,1620
0.6288,1622
0.6342,1617
0.6398,1616
0.6455,1621
0.6508,1620
0.6565,1618
0.6621,1619
0.6675,1622
0.6732,1620
0.6789,1617
0.6843,1618
0.6897,1621
0.6953,1619
0.7009,1617
0.7064,1619
0.712,1620
0.7177,1616
0.723,1620
0.7287,1621
0.7342,1616
0.7398,1617
0.7452,1622
0.7508,1620
0.7564,1618
0.762,1618
0.7675,1620
0.7731,1618
0.7787,1618
0.7844,1623
0.7897,1621
0.7954,1618
0.801,1620
0.8064,1621
0.8121,1617
0.8176,1614
