Experiment: Feb_19_eric7_chem_expt vial 11, Thu Feb 18 15:47:28 2021
0.0023,56437
0.0072,56435
0.0125,56436
0.0182,56435
0.0236,56436
0.0292,56437
0.0349,56441
0.0403,56444
0.046,56445
0.0516,56440
0.057,56439
0.0627,56442
0.0681,56440
0.0737,56436
0.0794,56437
0.0848,56435
0.0905,56439
0.0959,56440
0.1015,56438
0.1072,56436
0.1126,56439
0.1182,56438
0.1236,56435
0.1293,56443
0.135,56436
0.1403,56438
0.1459,56433
0.1516,56440
0.157,56437
0.1627,56436
0.1681,56437
0.1738,56438
0.1849,56439
0.1905,56441
0.196,56438
0.4459,56430
0.4516,56427
0.457,56429
0.4627,56434
0.4681,56434
0.4738,56433
0.4792,56429
0.4849,56426
0.4906,56428
0.496,56429
0.5016,56423
0.507,56429
