Experiment: Feb_19_eric7_chem_expt vial 15, Thu Feb 18 15:47:28 2021
0.0023,54238
0.0072,54230
0.0125,54232
0.0182,54230
0.0236,54224
0.0292,54259
0.0349,54260
0.0403,54255
0.046,54249
0.0516,54260
0.057,54261
0.0627,54260
0.0681,54258
0.0737,54263
0.0794,54272
0.0848,54268
0.0905,54253
0.0959,54258
0.1015,54256
0.1072,54259
0.1126,54255
0.1182,54258
0.1236,54256
0.1293,54259
0.135,54253
0.1403,54247
0.1459,54258
0.1516,54267
0.157,54259
0.1627,54242
0.1681,54259
0.1738,54256
0.1849,54255
0.1905,54252
0.196,54251
0.4459,54241
0.4516,54259
0.457,54254
0.4627,54255
0.4681,54241
0.4738,54262
0.4792,54262
0.4849,54261
0.4906,54251
0.496,54255
0.5016,54260
0.507,54265
