Experiment: Feb_19_eric7_chem_expt vial 13, Thu Feb 18 15:47:28 2021
0.0023,49366
0.0072,49342
0.0125,49344
0.0182,49355
0.0236,49347
0.0292,49312
0.0349,49297
0.0403,49308
0.046,49299
0.0516,49305
0.057,49283
0.0627,49301
0.0681,49320
0.0737,49311
0.0794,49301
0.0848,49300
0.0905,49315
0.0959,49309
0.1015,49306
0.1072,49290
0.1126,49303
0.1182,49307
0.1236,49304
0.1293,49305
0.135,49283
0.1403,49290
0.1459,49295
0.1516,49301
0.157,49297
0.1627,49283
0.1681,49299
0.1738,49308
0.1849,49298
0.1905,49314
0.196,49323
0.4459,49281
0.4516,49281
0.457,49272
0.4627,49289
0.4681,49292
0.4738,49295
0.4792,49305
0.4849,49304
0.4906,49318
0.496,49316
0.5016,49310
0.507,49315
