Experiment: Feb_19_eric7_chem_expt vial 8, Thu Feb 18 15:47:28 2021
0.0023,56478
0.0072,56476
0.0125,56473
0.0182,56481
0.0236,56475
0.0292,56473
0.0349,56481
0.0403,56481
0.046,56478
0.0516,56480
0.057,56479
0.0627,56477
0.0681,56478
0.0737,56478
0.0794,56479
0.0848,56482
0.0905,56489
0.0959,56487
0.1015,56480
0.1072,56482
0.1126,56484
0.1182,56483
0.1236,56479
0.1293,56480
0.135,56479
0.1403,56480
0.1459,56476
0.1516,56477
0.157,56481
0.1627,56477
0.1681,56484
0.1738,56479
0.1849,56475
0.1905,56471
0.196,56475
0.4459,56482
0.4516,56485
0.457,56478
0.4627,56477
0.4681,56483
0.4738,56482
0.4792,56481
0.4849,56482
0.4906,56488
0.496,56480
0.5016,56481
0.507,56478
