Experiment: Feb_19_eric7_chem_expt vial 14, Thu Feb 18 15:47:28 2021
0.0023,51909
0.0072,51893
0.0125,51884
0.0182,51889
0.0236,51891
0.0292,51841
0.0349,51841
0.0403,51840
0.046,51827
0.0516,51835
0.057,51830
0.0627,51829
0.0681,51843
0.0737,51831
0.0794,51825
0.0848,51826
0.0905,51829
0.0959,51825
0.1015,51821
0.1072,51814
0.1126,51819
0.1182,51823
0.1236,51817
0.1293,51814
0.135,51815
0.1403,51817
0.1459,51813
0.1516,51812
0.157,51823
0.1627,51807
0.1681,51822
0.1738,51822
0.1849,51813
0.1905,51826
0.196,51825
0.4459,51799
0.4516,51791
0.457,51792
0.4627,51807
0.4681,51805
0.4738,51794
0.4792,51821
0.4849,51822
0.4906,51837
0.496,51831
0.5016,51826
0.507,51839
