Experiment: Feb_19_eric7_chem_expt vial 4, Thu Feb 18 15:47:28 2021
0.0023,56363
0.0072,56360
0.0125,56357
0.0182,56362
0.0236,56363
0.0292,56356
0.0349,56403
0.0403,56401
0.046,56411
0.0516,56407
0.057,56409
0.0627,56403
0.0681,56401
0.0737,56402
0.0794,56396
0.0848,56397
0.0905,56403
0.0959,56404
0.1015,56394
0.1072,56395
0.1126,56393
0.1182,56389
0.1236,56395
0.1293,56397
0.135,56394
0.1403,56390
0.1459,56394
0.1516,56395
0.157,56402
0.1627,56399
0.1681,56401
0.1738,56399
0.1849,56395
0.1905,56402
0.196,56399
0.4459,56401
0.4516,56405
0.457,56405
0.4627,56406
0.4681,56407
0.4738,56408
0.4792,56402
0.4849,56408
0.4906,56412
0.496,56414
0.5016,56410
0.507,56408
