Experiment: Feb_19_eric7_chem_expt vial 6, Thu Feb 18 15:47:28 2021
0.0023,55606
0.0072,55612
0.0125,55607
0.0182,55611
0.0236,55614
0.0292,55614
0.0349,55613
0.0403,55611
0.046,55607
0.0516,55615
0.057,55608
0.0627,55614
0.0681,55604
0.0737,55613
0.0794,55609
0.0848,55609
0.0905,55614
0.0959,55614
0.1015,55616
0.1072,55619
0.1126,55619
0.1182,55614
0.1236,55612
0.1293,55620
0.135,55611
0.1403,55609
0.1459,55610
0.1516,55609
0.157,55617
0.1627,55611
0.1681,55620
0.1738,55615
0.1849,55616
0.1905,55612
0.196,55624
0.4459,55607
0.4516,55614
0.457,55600
0.4627,55608
0.4681,55610
0.4738,55607
0.4792,55607
0.4849,55606
0.4906,55610
0.496,55608
0.5016,55613
0.507,55625
