Experiment: T3_Aug_19_pumped_od_cal_expt vial 5, Thu Aug 19 18:27:13 2021
0.0032,1611
0.0086,1606
0.0143,1610
0.0197,1614
0.0254,1607
0.0308,1612
0.0365,1613
0.0419,1607
0.0476,1614
0.053,1614
0.0585,1607
0.0642,1610
0.0696,1611
0.0753,1606
0.081,1614
0.0864,1614
0.0921,1609
0.0974,1613
0.1031,1612
0.1085,1608
0.1142,1611
0.1196,1609
0.1252,1609
0.1309,1609
0.1363,1610
0.142,1611
0.1474,1609
0.153,1610
0.1587,1608
0.1642,1614
0.1699,1615
0.1753,1608
0.1808,1614
0.1865,1612
0.1919,1608
0.1976,1611
0.203,1612
0.2086,1608
0.2141,1611
0.2198,1615
0.2252,1612
0.2309,1609
0.2363,1612
0.242,1612
0.2474,1607
0.2531,1611
0.2588,1612
0.2642,1608
0.2697,1616
0.2754,1615
0.2808,1611
0.2865,1610
0.2919,1613
0.2976,1609
0.303,1608
0.3087,1612
0.3141,1608
0.3198,1610
0.3253,1617
0.3307,1614
0.3364,1610
0.3421,1607
0.3474,1611
0.3531,1609
0.3586,1610
0.3643,1611
0.3697,1609
0.3754,1614
0.3808,1617
0.3865,1616
0.3919,1611
0.3976,1607
0.403,1613
0.4087,1612
0.4141,1609
0.4198,1613
0.4252,1611
0.4309,1609
0.4363,1616
0.4421,1618
0.4475,1612
0.4532,1608
0.4586,1613
0.4643,1613
0.4697,1608
0.4753,1609
0.4807,1613
0.4864,1607
0.4919,1615
0.4976,1615
0.503,1613
0.5087,1607
0.5141,1613
0.5198,1613
0.5252,1606
0.5309,1611
0.5363,1613
0.542,1607
0.5474,1614
0.5532,1616
0.5586,1615
0.5643,1609
0.5697,1608
0.5754,1613
0.5808,1607
0.5865,1609
0.5919,1612
0.5976,1609
0.603,1614
0.6087,1618
0.6141,1614
0.6198,1607
0.6252,1611
0.6309,1613
0.6365,1608
0.6419,1613
0.6476,1614
0.653,1607
0.6587,1617
0.6641,1619
0.6698,1615
0.6752,1608
0.6809,1610
0.6863,1613
0.692,1611
0.6974,1609
0.7031,1615
0.7086,1615
0.7142,1615
0.7197,1609
0.7253,1609
0.7307,1613
0.7364,1611
0.7419,1606
0.7475,1614
0.753,1613
0.7586,1608
0.7641,1615
0.7698,1620
0.7752,1616
0.7809,1611
0.7863,1609
0.792,1613
0.7974,1612
0.803,1609
0.8087,1612
0.8142,1617
0.8199,1615
0.8253,1616
0.831,1607
0.8364,1613
0.8421,1611
0.8475,1608
0.8532,1613
0.8586,1613
0.8643,1607
0.8698,1616
0.8754,1624
0.8808,1621
0.8865,1615
0.8919,1609
0.8976,1608
0.903,1615
0.9087,1611
0.9141,1606
0.9198,1615
0.9253,1618
0.931,1622
0.9364,1620
0.942,1615
0.9474,1609
0.9531,1609
0.9585,1614
0.9642,1610
0.9697,1610
0.9753,1612
0.9808,1612
0.9865,1619
0.9919,1618
0.9976,1615
1.003,1610
1.0087,1609
1.0142,1611
1.0199,1609
1.0253,1610
1.0308,1617
1.0365,1627
1.0419,1631
1.0476,1629
1.053,1628
1.0587,1623
1.0641,1619
1.0698,1613
