Experiment: T3_Aug_19_pumped_od_cal_expt vial 2, Thu Aug 19 18:27:13 2021
0.0032,1589
0.0086,1594
0.0143,1594
0.0197,1592
0.0254,1594
0.0308,1594
0.0365,1592
0.0419,1592
0.0476,1599
0.053,1591
0.0585,1593
0.0642,1595
0.0696,1592
0.0753,1592
0.081,1596
0.0864,1594
0.0921,1589
0.0974,1594
0.1031,1594
0.1085,1592
0.1142,1592
0.1196,1592
0.1252,1592
0.1309,1591
0.1363,1594
0.142,1593
0.1474,1591
0.153,1593
0.1587,1592
0.1642,1599
0.1699,1598
0.1753,1595
0.1808,1593
0.1865,1592
0.1919,1595
0.1976,1593
0.203,1593
0.2086,1592
0.2141,1592
0.2198,1595
0.2252,1597
0.2309,1596
0.2363,1593
0.242,1589
0.2474,1595
0.2531,1594
0.2588,1592
0.2642,1595
0.2697,1597
0.2754,1601
0.2808,1596
0.2865,1593
0.2919,1592
0.2976,1595
0.303,1596
0.3087,1592
0.3141,1594
0.3198,1595
0.3253,1598
0.3307,1596
0.3364,1595
0.3421,1593
0.3474,1591
0.3531,1595
0.3586,1593
0.3643,1591
0.3697,1593
0.3754,1598
0.3808,1595
0.3865,1598
0.3919,1595
0.3976,1594
0.403,1592
0.4087,1593
0.4141,1593
0.4198,1592
0.4252,1594
0.4309,1592
0.4363,1595
0.4421,1597
0.4475,1595
0.4532,1592
0.4586,1592
0.4643,1593
0.4697,1593
0.4753,1592
0.4807,1593
0.4864,1592
0.4919,1597
0.4976,1600
0.503,1595
0.5087,1594
0.5141,1592
0.5198,1594
0.5252,1591
0.5309,1593
0.5363,1593
0.542,1591
0.5474,1597
0.5532,1600
0.5586,1599
0.5643,1594
0.5697,1591
0.5754,1595
0.5808,1594
0.5865,1593
0.5919,1593
0.5976,1594
0.603,1597
0.6087,1599
0.6141,1597
0.6198,1595
0.6252,1591
0.6309,1592
0.6365,1593
0.6419,1590
0.6476,1594
0.653,1593
0.6587,1595
0.6641,1596
0.6698,1597
0.6752,1592
0.6809,1590
0.6863,1595
0.692,1593
0.6974,1592
0.7031,1591
0.7086,1600
0.7142,1604
0.7197,1603
0.7253,1598
0.7307,1594
0.7364,1592
0.7419,1594
0.7475,1594
0.753,1591
0.7586,1593
0.7641,1599
0.7698,1605
0.7752,1602
0.7809,1599
0.7863,1596
0.792,1592
0.7974,1593
0.803,1591
0.8087,1592
0.8142,1598
0.8199,1606
0.8253,1606
0.831,1603
0.8364,1598
0.8421,1592
0.8475,1592
0.8532,1594
0.8586,1594
0.8643,1591
0.8698,1604
0.8754,1609
0.8808,1612
0.8865,1606
0.8919,1601
0.8976,1599
0.903,1594
0.9087,1592
0.9141,1594
0.9198,1592
0.9253,1597
0.931,1602
0.9364,1605
0.942,1602
0.9474,1600
0.9531,1601
0.9585,1593
0.9642,1590
0.9697,1594
0.9753,1595
0.9808,1599
0.9865,1609
0.9919,1610
0.9976,1611
1.003,1609
1.0087,1603
1.0142,1600
1.0199,1596
1.0253,1591
1.0308,1600
1.0365,1619
1.0419,1624
1.0476,1626
1.053,1624
1.0587,1621
1.0641,1617
1.0698,1615
