Experiment: Feb_5_Batch_expt_zeroed vial 12, Fri Feb  5 18:54:21 2021
0.0037,0.0
0.0094,-0.003826205700818097
0.0147,-0.011060162280130237
0.0204,-0.01507360486069087
0.026,-0.013316370887744122
0.0314,-0.01819451224504015
0.0371,-0.017321586339772932
0.0428,-0.01854578167424087
0.0481,-0.019904472572181975
0.0538,-0.01420996168619676
0.0594,-0.014917298114646538
0.0648,-0.026995467896389236
0.0705,-0.031070291131659322
0.0758,-0.036264333902234935
0.0815,-0.02664741984536717
0.0871,-0.026236400312210806
0.0925,-0.040375667734998955
0.0982,-0.031443506379533026
0.1038,-0.049235320720610654
0.1092,-0.045481746700282766
0.1149,-0.0383173506424796
0.1205,-0.04157259082533582
0.1259,-0.05481359030577221
0.1315,-0.05238151761478732
0.1372,-0.04486224392383831
0.1426,-0.05554653334012832
0.1482,-0.06502167721007057
0.1538,-0.06343985029901117
0.1592,-0.062226049842975084
0.1649,-0.06643109917566081
0.1702,-0.06819254662510921
0.1759,-0.06833386190321239
0.1815,-0.06423725024709143
0.1872,-0.07254443134679994
0.1926,-0.0677900699828175
0.1982,-0.06621583370243711
0.2039,-0.06737094972752805
0.2093,-0.07276106361045231
0.2149,-0.07677403850327225
0.2203,-0.07483412883091467
