Experiment: Feb_5_Batch_expt_zeroed vial 7, Fri Feb  5 18:54:21 2021
0.0037,0.0
0.0094,-0.006140463816607156
0.0147,-0.009256933657799005
0.0204,-0.013767984488563423
0.026,-0.018567584533994763
0.0314,-0.019162783981482523
0.0371,-0.02779944572895543
0.0428,-0.029125828839402512
0.0481,-0.03418746379013582
0.0538,-0.035347783107424036
0.0594,-0.039812135318385344
0.0648,-0.04633866127730335
0.0705,-0.048337518614411046
0.0758,-0.049975014616580715
0.0815,-0.05912535278218023
0.0871,-0.05880774844544723
0.0925,-0.06019169664315793
0.0982,-0.06191505678482212
0.1038,-0.07087249891962033
0.1092,-0.07131799949609663
0.1149,-0.07064864841488028
0.1205,-0.07928441489900662
0.1259,-0.08626631036996879
0.1315,-0.08867969437437662
0.1372,-0.0891331889778304
0.1426,-0.09007795605305557
0.1482,-0.0930510043704571
0.1538,-0.09376508439494113
0.1592,-0.10062971118519326
0.1649,-0.10525967268788006
0.1702,-0.10633162706666544
0.1759,-0.10897521128574361
0.1815,-0.10981815236706471
0.1872,-0.1089694251497999
0.1926,-0.10966960420318461
0.1982,-0.11259395896018898
0.2039,-0.11469544395025988
0.2093,-0.11303555545631117
0.2149,-0.11226002892950038
0.2203,-0.1115415395327426
