Experiment: Feb_5_Batch_expt_zeroed vial 4, Fri Feb  5 18:54:21 2021
0.0037,0.0
0.0094,-0.0004093326059579905
0.0147,-0.0003305917668470215
0.0204,-0.0006563872494298462
0.026,-0.0004970060206657134
0.0314,-0.0008298478594612746
0.0371,-0.0009711231763567252
0.0428,-0.0011216273408856114
0.0481,-0.0014553634584115738
0.0538,-0.0014445113927619158
0.0594,-0.0014769897500601648
0.0648,-0.0015817926186150189
0.0705,-0.0017255792863453134
0.0758,-0.001865482352825687
0.0815,-0.001738610157211662
0.0871,-0.0017428913428139126
0.0925,-0.0018914163851071475
0.0982,-0.0016981854263062868
0.1038,-0.0019296430774153883
0.1092,-0.0014961137163538307
0.1149,-0.0016044903051066761
0.1205,-0.000746268859439958
0.1259,-0.00031232763384347884
0.1315,-0.0017970218052696385
0.1372,-0.0004495131517334716
0.1426,-0.000758688447353606
0.1482,-0.0011854240091906387
0.1538,-0.0008730581230831369
0.1592,-0.00020421784239910146
0.1649,-0.0010416145657350384
0.1702,-0.0008719873917013565
0.1759,-0.00014076108829019773
0.1815,-0.00014946406642279975
0.1872,-0.0009838303831322115
0.1926,0.0005946583031877228
0.1982,-0.0002718647353747716
0.2039,-0.00017161356164230313
0.2093,0.0002451671315391035
0.2149,2.6273452410352505e-05
0.2203,0.00023703883342385268
