Experiment: Feb_5_Batch_expt_zeroed vial 8, Fri Feb  5 18:54:21 2021
0.0037,0.0
0.0094,0.00309983515940071
0.0147,0.0056151176727814445
0.0204,0.0018758524734974191
0.026,-0.0014839997321349774
0.0314,-0.007276254125260229
0.0371,-0.004560851756558071
0.0428,-0.00866919171162106
0.0481,-0.010208589332995732
0.0538,-0.007277356519611589
0.0594,-0.005808204955815244
0.0648,-0.009064730729718029
0.0705,-0.01282613096127383
0.0758,-0.013635109445884419
0.0815,-0.009737677322855465
0.0871,-0.021691087334499537
0.0925,-0.012644310033760764
0.0982,-0.01749138981718046
0.1038,-0.01898999639550092
0.1092,-0.019200994866488408
0.1149,-0.021610195987314507
0.1205,-0.021800753910173
0.1259,-0.025071079102209515
0.1315,-0.02548467677486488
0.1372,-0.03121455220981817
0.1426,-0.02039262050505597
0.1482,-0.012816982855041514
0.1538,-0.027579505533372073
0.1592,-0.03423097229981198
0.1649,-0.03450200220689803
0.1702,-0.020854480073437154
0.1759,-0.030415148509819634
0.1815,-0.027505481896679562
0.1872,-0.01952248909896781
0.1926,-0.027604990396234097
0.1982,-0.03068284728924131
0.2039,-0.037266739157124196
0.2093,-0.0243630503592156
0.2149,-0.03152078263690328
0.2203,-0.027766598394599384
