Experiment: Feb_5_Batch_expt_zeroed vial 1, Fri Feb  5 18:54:21 2021
0.0037,0.0
0.0094,-0.00124376406515736
0.0147,-0.0035752463948017787
0.0204,-0.005782582813682158
0.026,-0.007963701472403106
0.0314,-0.010721608500584678
0.0371,-0.013110816929398195
0.0428,-0.015135381916514201
0.0481,-0.01671981221796537
0.0538,-0.01791225476255298
0.0594,-0.021086729235965773
0.0648,-0.02268201619197019
0.0705,-0.024322636774845918
0.0758,-0.026290601673397695
0.0815,-0.027712415731573903
0.0871,-0.02750975763537644
0.0925,-0.028502609051491046
0.0982,-0.030066148489807598
0.1038,-0.033661370571413274
0.1092,-0.032264285575478
0.1149,-0.0330466059864889
0.1205,-0.03687138075136709
0.1259,-0.03585373977855755
0.1315,-0.03828531783268596
0.1372,-0.04085954878908771
0.1426,-0.041068813848615826
0.1482,-0.04386946427470917
0.1538,-0.04243602981729144
0.1592,-0.043439434311266734
0.1649,-0.0456478117081377
0.1702,-0.04604307583999523
0.1759,-0.04404546025012068
0.1815,-0.04236692185748869
0.1872,-0.04475579365103477
0.1926,-0.044563936981989904
0.1982,-0.045749936865682295
0.2039,-0.046329638625305924
0.2093,-0.04570485135342495
0.2149,-0.04428120675059777
0.2203,-0.04409100964078594
