Experiment: Mar_9_turb2_expt vial 10, Tue Mar  9 17:40:33 2021
0.0017,0.0
0.0069,0.0002947643216989482
0.0125,0.0002638592929478101
0.0179,-0.0005174537644446753
0.0236,-0.0002535682499483771
0.029,-1.030279738334361e-05
0.0347,0.0002535584125203938
0.0401,-0.000527760793650689
0.0458,0.0002535584125203938
0.0515,-3.0907198415808246e-05
0.0569,0.0008121309578587033
0.0625,0.0017952766820130694
0.0679,-0.0008019708426020289
0.0736,-0.0005380674249454431
0.079,-0.0018680410239058087
0.0847,-0.00026387336219846347
0.0901,-0.00024326273978647617
0.0958,-0.0010555778643039915
0.1012,0.00027416057128692994
0.1069,-0.0002535682499483771
0.1125,-0.0002535682499483771
0.1179,-0.0007401135844287143
0.1236,-0.00022265052572889577
0.129,-0.0005174537644446753
0.1347,-0.0005174537644446753
0.1401,-0.00026387336219846347
0.1458,0.0007812386245759084
0.1512,0.0010862405324360003
0.1569,0.0013088625596279213
0.1623,0.0002535584125203938
0.1679,0.00028446224753742033
0.1736,-0.0012885679695565644
0.179,-0.0002020367200259443
0.1847,0.00024325793000401497
0.1901,-0.000527760793650689
0.1958,-0.0004968385122979813
0.2012,-0.000771044004116539
0.2069,-2.0605196855205676e-05
0.2123,-0.0008019708426020289
0.218,-0.00026387336219846347
