Experiment: Mar_9_turb3_expt vial 9, Tue Mar  9 17:54:12 2021
0.0019,180
0.0076,180
0.013,181
0.0187,180
0.0241,178
0.0299,179
0.0353,177
0.041,178
0.0464,179
0.052,180
0.0574,180
0.0631,178
0.0688,177
0.0742,177
0.0799,179
0.0853,178
0.091,179
0.0964,178
0.1021,178
0.1075,182
0.1131,177
0.1186,180
0.1242,180
0.1299,182
0.1353,179
0.141,178
0.1464,183
0.1521,176
0.1575,181
0.1632,179
0.1686,181
0.1742,179
0.1799,177
0.1853,178
0.191,178
0.1964,178
0.202,180
0.2077,180
0.2131,180
0.2188,181
0.2242,179
0.2298,179
0.2353,174
0.2409,180
0.2466,178
0.252,179
0.2577,178
0.263,179
0.2687,177
0.2744,177
0.2798,177
0.2855,177
0.2909,180
0.2966,178
0.302,179
0.3077,177
0.3131,177
0.3187,178
0.3241,178
0.3298,179
0.3352,178
0.3409,178
0.3466,175
0.352,178
0.3577,179
0.3631,179
0.3688,178
0.3742,176
0.3799,179
0.3853,178
0.391,180
0.3964,177
0.4021,176
0.4077,178
0.4131,180
0.4188,179
0.4242,180
0.4299,178
0.4354,182
0.441,182
0.4464,181
0.4521,183
0.4575,178
0.4632,176
0.4689,182
0.4743,179
0.4799,178
0.4853,180
0.491,177
0.4964,178
0.5021,179
0.5075,178
0.5132,178
0.5186,177
0.5243,179
0.5299,179
0.5353,178
0.541,181
0.5464,178
0.5521,180
0.5575,177
0.5632,178
0.5686,179
0.5743,177
0.5797,179
0.5854,178
0.5911,176
0.5965,173
0.6021,177
0.6075,178
0.6132,177
0.6186,178
0.6243,179
0.6297,178
0.6354,177
0.641,173
0.6465,177
0.6521,179
0.6575,178
0.6632,177
0.6686,177
0.6743,178
0.6797,175
0.6854,179
0.6908,175
0.6965,177
0.7022,178
0.7076,178
0.7133,179
0.7187,179
0.7243,179
0.7297,178
0.7354,178
0.7408,178
0.7465,173
0.7519,178
0.7576,178
0.7633,179
0.7687,175
0.7743,176
0.7797,178
0.7854,177
0.7908,177
0.7965,176
0.8022,179
0.8076,175
0.8132,177
0.8186,176
0.8243,179
0.83,177
0.8354,175
0.841,175
0.8464,177
0.8521,176
0.8575,176
0.8632,175
0.8686,176
0.8743,177
0.88,177
0.8854,175
0.8911,175
0.8965,177
0.9022,180
0.9076,178
0.9132,178
0.9186,173
0.9243,176
0.93,177
0.9354,176
0.9411,175
0.9465,178
0.9521,172
0.9575,177
0.9632,179
0.9686,178
0.9743,176
0.98,177
0.9854,176
0.9911,178
0.9965,176
1.0022,178
1.0075,174
1.0133,178
1.0186,178
1.0243,177
1.03,178
1.0354,178
1.0411,178
1.0465,178
1.0522,176
1.0576,178
1.0633,176
1.0687,178
1.0744,178
1.0798,176
1.0854,178
1.0911,178
1.0965,178
1.1022,179
1.1076,178
1.1133,176
1.1187,177
1.1244,175
1.1298,178
1.1355,172
1.1409,177
1.1466,179
1.152,172
1.1576,174
1.1633,175
1.1687,176
1.1744,178
1.1798,174
1.1855,178
1.1909,175
1.1965,176
1.2019,176
1.2076,177
1.2133,175
1.2187,177
1.2241,175
1.2298,178
1.2355,176
1.2409,177
1.2466,177
1.252,176
1.2577,176
1.2631,175
1.2687,176
1.2741,176
1.2798,178
1.2855,175
1.2909,178
1.2966,175
1.302,178
1.3077,178
1.3131,176
1.3188,178
1.3242,177
1.3298,176
1.3355,174
1.341,177
1.3466,178
1.352,176
1.3577,176
1.3631,177
1.3688,178
1.3742,178
1.3799,176
1.3853,177
1.391,177
1.3966,175
1.402,176
1.4077,177
1.4131,176
1.4188,176
1.4242,177
1.4299,177
1.4353,177
1.441,175
1.4467,175
1.4521,177
1.4575,177
1.4632,176
1.4689,180
1.4743,176
1.48,177
1.4854,177
1.4911,177
1.4965,173
1.5021,176
1.5076,176
1.5133,177
1.5186,174
1.5243,175
1.5298,178
1.5354,175
1.5411,175
1.5465,175
1.5522,177
1.5576,175
1.5633,177
1.5687,176
1.5744,175
1.5798,175
1.5855,176
1.5909,175
1.5966,178
1.602,175
1.6077,177
1.6131,175
1.6188,178
1.6242,178
1.6299,176
1.6356,177
1.641,176
1.6467,175
1.6521,175
1.6578,175
1.6632,178
1.6688,174
1.6742,176
1.6799,176
1.6853,177
1.691,177
1.6964,175
1.7021,174
1.7078,175
1.7132,176
1.7189,181
1.7242,177
1.7299,177
1.7353,177
1.741,177
1.7464,177
1.7521,178
1.7577,179
1.7632,177
1.7688,178
1.7742,178
1.7799,177
1.7856,178
1.791,177
1.7967,177
1.8021,175
1.8077,177
1.8131,177
1.8188,177
1.8242,175
1.8299,174
1.8355,175
1.8409,176
1.8466,178
1.852,175
1.8577,176
1.8631,178
1.8688,178
1.8742,177
1.8799,175
1.8853,175
1.891,177
1.8967,174
1.9021,178
1.9078,180
1.9132,177
1.9189,176
1.9243,179
1.9299,177
1.9354,177
1.9411,177
1.9465,177
1.9521,178
1.9575,174
1.9632,178
1.9689,176
1.9743,175
1.98,174
1.9854,177
1.9911,177
1.9965,177
2.0022,179
2.0076,178
2.0133,177
2.0187,178
2.0244,177
2.0298,175
2.0355,177
2.0409,175
2.0466,177
2.052,178
2.0577,178
2.0631,177
2.0688,176
2.0742,176
2.0799,177
2.0853,178
2.091,176
2.0964,178
2.1021,179
2.1075,181
2.1132,178
2.1189,178
2.1243,178
2.13,179
2.1354,178
2.1411,177
2.1465,180
2.1522,179
2.1576,179
2.1633,179
2.1687,175
2.1744,178
2.1798,178
2.1855,180
2.1909,179
2.1966,177
2.202,176
2.2077,178
2.2131,176
2.2188,178
