Experiment: Mar_9_turb3_expt vial 12, Tue Mar  9 17:54:12 2021
0.0019,181
0.0076,180
0.013,180
0.0187,178
0.0241,180
0.0299,181
0.0353,177
0.041,180
0.0464,179
0.052,178
0.0574,177
0.0631,179
0.0688,178
0.0742,180
0.0799,179
0.0853,179
0.091,179
0.0964,176
0.1021,178
0.1075,180
0.1131,181
0.1186,179
0.1242,179
0.1299,179
0.1353,180
0.141,182
0.1464,181
0.1521,178
0.1575,181
0.1632,180
0.1686,177
0.1742,178
0.1799,180
0.1853,176
0.191,180
0.1964,178
0.202,178
0.2077,180
0.2131,181
0.2188,177
0.2242,178
0.2298,177
0.2353,176
0.2409,179
0.2466,178
0.252,181
0.2577,180
0.263,175
0.2687,178
0.2744,178
0.2798,178
0.2855,178
0.2909,181
0.2966,182
0.302,178
0.3077,176
0.3131,180
0.3187,180
0.3241,180
0.3298,180
0.3352,176
0.3409,180
0.3466,175
0.352,176
0.3577,178
0.3631,178
0.3688,177
0.3742,179
0.3799,179
0.3853,179
0.391,181
0.3964,179
0.4021,181
0.4077,177
0.4131,181
0.4188,181
0.4242,178
0.4299,179
0.4354,181
0.441,183
0.4464,182
0.4521,183
0.4575,175
0.4632,180
0.4689,182
0.4743,180
0.4799,179
0.4853,179
0.491,177
0.4964,181
0.5021,176
0.5075,179
0.5132,177
0.5186,179
0.5243,179
0.5299,177
0.5353,179
0.541,178
0.5464,178
0.5521,178
0.5575,178
0.5632,177
0.5686,178
0.5743,178
0.5797,178
0.5854,178
0.5911,176
0.5965,175
0.6021,178
0.6075,178
0.6132,177
0.6186,179
0.6243,177
0.6297,178
0.6354,178
0.641,173
0.6465,177
0.6521,178
0.6575,178
0.6632,177
0.6686,177
0.6743,176
0.6797,177
0.6854,178
0.6908,179
0.6965,176
0.7022,177
0.7076,176
0.7133,178
0.7187,176
0.7243,178
0.7297,176
0.7354,177
0.7408,180
0.7465,176
0.7519,176
0.7576,176
0.7633,177
0.7687,178
0.7743,176
0.7797,177
0.7854,177
0.7908,177
0.7965,177
0.8022,175
0.8076,175
0.8132,179
0.8186,177
0.8243,178
0.83,177
0.8354,176
0.841,178
0.8464,177
0.8521,176
0.8575,178
0.8632,175
0.8686,177
0.8743,174
0.88,179
0.8854,179
0.8911,178
0.8965,177
0.9022,177
0.9076,179
0.9132,179
0.9186,179
0.9243,177
0.93,177
0.9354,177
0.9411,174
0.9465,175
0.9521,175
0.9575,178
0.9632,178
0.9686,178
0.9743,177
0.98,178
0.9854,176
0.9911,177
0.9965,176
1.0022,177
1.0075,176
1.0133,176
1.0186,177
1.0243,176
1.03,179
1.0354,179
1.0411,176
1.0465,179
1.0522,178
1.0576,179
1.0633,180
1.0687,178
1.0744,176
1.0798,177
1.0854,177
1.0911,178
1.0965,176
1.1022,177
1.1076,178
1.1133,177
1.1187,175
1.1244,176
1.1298,176
1.1355,176
1.1409,173
1.1466,175
1.152,177
1.1576,176
1.1633,175
1.1687,178
1.1744,178
1.1798,176
1.1855,178
1.1909,176
1.1965,176
1.2019,175
1.2076,176
1.2133,174
1.2187,176
1.2241,176
1.2298,176
1.2355,177
1.2409,179
1.2466,177
1.252,176
1.2577,178
1.2631,176
1.2687,176
1.2741,174
1.2798,179
1.2855,177
1.2909,178
1.2966,175
1.302,180
1.3077,176
1.3131,176
1.3188,176
1.3242,177
1.3298,176
1.3355,177
1.341,179
1.3466,178
1.352,178
1.3577,178
1.3631,178
1.3688,177
1.3742,177
1.3799,178
1.3853,178
1.391,179
1.3966,177
1.402,177
1.4077,178
1.4131,177
1.4188,178
1.4242,177
1.4299,178
1.4353,177
1.441,176
1.4467,178
1.4521,177
1.4575,177
1.4632,176
1.4689,177
1.4743,174
1.48,176
1.4854,178
1.4911,176
1.4965,177
1.5021,176
1.5076,175
1.5133,175
1.5186,176
1.5243,176
1.5298,178
1.5354,175
1.5411,175
1.5465,175
1.5522,177
1.5576,178
1.5633,175
1.5687,170
1.5744,175
1.5798,174
1.5855,174
1.5909,173
1.5966,175
1.602,175
1.6077,177
1.6131,178
1.6188,176
1.6242,177
1.6299,176
1.6356,177
1.641,174
1.6467,176
1.6521,174
1.6578,175
1.6632,177
1.6688,174
1.6742,177
1.6799,174
1.6853,176
1.691,176
1.6964,175
1.7021,175
1.7078,176
1.7132,176
1.7189,178
1.7242,177
1.7299,177
1.7353,175
1.741,180
1.7464,174
1.7521,176
1.7577,178
1.7632,176
1.7688,178
1.7742,177
1.7799,176
1.7856,178
1.791,178
1.7967,179
1.8021,177
1.8077,178
1.8131,177
1.8188,177
1.8242,177
1.8299,178
1.8355,177
1.8409,176
1.8466,178
1.852,177
1.8577,174
1.8631,178
1.8688,176
1.8742,176
1.8799,175
1.8853,174
1.891,177
1.8967,178
1.9021,178
1.9078,176
1.9132,177
1.9189,176
1.9243,181
1.9299,177
1.9354,178
1.9411,177
1.9465,177
1.9521,177
1.9575,177
1.9632,177
1.9689,178
1.9743,178
1.98,178
1.9854,177
1.9911,178
1.9965,178
2.0022,177
2.0076,178
2.0133,177
2.0187,176
2.0244,177
2.0298,176
2.0355,177
2.0409,178
2.0466,177
2.052,176
2.0577,177
2.0631,177
2.0688,176
2.0742,175
2.0799,175
2.0853,179
2.091,176
2.0964,178
2.1021,178
2.1075,179
2.1132,178
2.1189,179
2.1243,180
2.13,177
2.1354,176
2.1411,179
2.1465,178
2.1522,179
2.1576,177
2.1633,178
2.1687,179
2.1744,180
2.1798,178
2.1855,178
2.1909,180
2.1966,178
2.202,177
2.2077,178
2.2131,176
2.2188,180
2.2245,177
2.2299,178
2.2356,179
2.241,179
2.2467,180
2.2521,179
2.2578,179
2.2632,179
2.2689,179
2.2743,178
2.28,179
2.2854,177
2.2911,182
2.2965,180
2.3022,177
2.3076,179
2.3132,177
2.3186,176
2.3243,177
2.33,179
2.3354,178
2.3411,176
2.3465,178
2.3522,177
2.3576,178
2.3633,177
2.3687,177
2.3744,176
2.3798,179
2.3855,178
2.3909,177
2.3966,179
2.4022,179
2.4076,178
2.4133,175
2.4187,177
2.4244,179
2.4298,178
2.4355,177
2.4409,180
2.4466,175
2.452,178
2.4577,177
2.4631,180
2.4688,177
2.4745,176
2.4799,178
2.4853,175
2.491,177
2.4967,175
2.5021,179
2.5075,179
2.5132,175
2.5189,176
2.5244,176
2.53,176
2.5354,178
2.5411,177
2.5465,177
2.5522,177
2.5576,177
2.5633,177
2.5687,176
2.5744,177
2.5798,176
2.5855,177
2.5909,178
2.5966,178
2.602,176
2.6077,178
2.6134,178
2.6188,179
2.6245,178
2.6299,179
2.6356,177
2.641,178
2.6467,176
2.6521,177
2.6578,176
