Experiment: Mar_5_Turb_expt vial 8, Fri Mar  5 17:59:38 2021
0.0053,1635
0.0107,1638
0.0164,1630
0.0218,1627
0.0275,1631
0.0329,1635
0.0384,1632
0.0441,1627
0.0495,1631
0.0552,1635
0.0606,1636
0.0663,1627
0.0717,1627
0.0774,1633
0.0831,1636
0.0885,1631
0.0942,1627
0.0996,1630
0.1052,1636
0.1106,1636
0.1163,1628
0.1217,1626
0.1274,1630
0.1331,1637
0.1385,1636
0.1442,1629
0.1496,1626
0.1553,1633
0.1607,1636
