Experiment: Apr29_heat_tst_expt vial 8, Fri Apr 29 15:10:06 2022
0.0028,0.0
0.0084,0.0
0.0141,-8.432607904484968e-05
0.0194,-8.432607904484968e-05
0.0251,0.00025949041726569533
0.0307,-0.000498207277568774
0.0361,-0.0001193582414780181
0.0417,-0.00018942246031272703
0.0474,3.5033049858412824e-05
0.0528,-0.00018942246031272703
0.0584,-0.0009328359641269657
0.0641,-0.0002737515080344366
0.0695,-0.0001193582414780181
0.0751,-0.000792719589332691
0.0808,-0.0012065906732496856
0.0861,0.0012624527227558247
0.0918,0.0007784828902837049
0.0972,-0.00018942246031272703
0.1028,0.00010509925560864275
0.1085,-0.0004489071761923924
0.1138,-0.0001193582414780181
0.1195,-0.00015439036856790267
0.1252,0.0
0.1306,0.00017516560273733717
0.1362,-0.0005682676639500173
0.1419,-0.000483938203790224
0.1472,-0.0008978069234464314
0.1529,0.00017516560273733717
0.1583,0.00032955860993233443
0.1639,-0.0006032978041234927
0.1696,0.0
0.175,-0.0005189691960421072
0.1806,-0.00022445451671337935
0.1863,-0.00041387611325038876
0.1917,3.5033049858412824e-05
0.1973,-0.0012416178683940515
0.203,-0.0007083880125762221
0.2084,-0.0008277487360484059
0.2139,-0.0003087827123557929
0.2196,-0.0008277487360484059
0.225,-0.0006032978041234927
0.2306,-0.0006733579784370392
0.2363,7.006613506099768e-05
0.2417,-0.0006733579784370392
0.2473,-0.0006733579784370392
0.253,-0.001157282058443343
0.2583,0.00029452449592692886
0.264,0.0005189847140272263
0.2696,-0.000483938203790224
0.2751,-0.00015439036856790267
