Experiment: Apr29_heat_tst_expt vial 0, Fri Apr 29 15:10:05 2022
0.0028,0.0
0.0084,-0.0010498971831867099
0.0141,-0.00045879741336252167
0.0194,-7.628390064740032e-05
0.0251,-0.00022342762132709915
0.0307,-0.0006924600361082334
0.0361,-0.0017338308770014077
0.0417,-0.0005518891965725636
0.0474,0.00151689546151057
0.0528,-0.0006003746117151376
0.0584,0.0019787844175997993
0.0641,0.002578167396812603
0.0695,0.0028124549931580756
0.0751,0.003332061314245127
0.0808,0.0019808772172467126
0.0861,0.0026919235062030644
0.0918,0.0035653545504041873
0.0972,0.0011931599517791547
0.1028,0.0033427367251441797
0.1085,0.0031497759124696767
0.1138,0.002741601654858483
0.1195,0.003261726255442854
0.1252,0.0032096421856981916
0.1306,0.002304008773502453
0.1362,0.0030306927134398087
0.1419,0.00295828752421734
0.1472,0.001100328063807554
0.1529,0.004047896956487662
0.1583,0.002829991644372143
0.1639,0.0034157759932549325
0.1696,0.0038604047964825305
0.175,0.0031661578723283235
0.1806,0.003347628763373134
0.1863,0.0033000239121117048
0.1917,0.0033198438870984948
0.1973,0.0018482886117063835
0.203,0.005028713919961403
0.2084,0.0030104198620917177
0.2139,0.0030652891888403033
0.2196,0.0033196745185046783
0.225,0.0053322671737576766
0.2306,0.0011716326995183657
0.2363,0.003047556015400854
0.2417,0.0014035901471167733
0.2473,0.004025991473554091
0.253,0.003474530581678348
0.2583,0.004761894652802301
0.264,0.0025901143538709093
0.2696,0.0030824405448737213
0.2751,0.0018446657620188045
