Experiment: Apr29_heat_tst_expt vial 13, Fri Apr 29 15:10:06 2022
0.0028,0.0
0.0084,-0.0003593867173866429
0.0141,-0.00010542918283902927
0.0194,-0.00047874499257015077
0.0251,-0.0003963775284522124
0.0307,-0.00028619856256729276
0.0361,-0.0007846541219132253
0.0417,-0.0006374958282447697
0.0474,-0.00037324453044980735
0.0528,-0.0007198190696840606
0.0584,-0.0007738065551275188
0.0641,-0.0008517761298019212
0.0695,-0.0007875319182359293
0.0751,-0.0008354270368393958
0.0808,-0.0006530160761520666
0.0861,-0.0008724574223485486
0.0918,-0.00061421183554837
0.0972,-0.0007658584195334751
0.1028,-0.0007241678221015062
0.1085,-0.0005426287377055007
0.1138,-0.0005334911902594441
0.1195,-0.0006620960479294669
0.1252,-0.0005800913021522802
0.1306,-0.000833679365082874
0.1362,-0.0007795499651069605
0.1419,-0.0009040039705657844
0.1472,-0.0008625875000158982
0.1529,-0.0009139679387991373
0.1583,-0.0009220908698283903
0.1639,-0.0008029278139044978
0.1696,-0.0003684822934308281
0.175,-0.0006064493041767552
0.1806,-0.0006853991448279168
0.1863,-0.0006824090267272299
0.1917,-0.0005460036546988609
0.1973,-0.0006791637324438382
0.203,-0.0005986745728269009
0.2084,-0.0006235115580544154
0.2139,-0.0006948748631407271
0.2196,-0.0009535540817926791
0.225,-0.0006219388028799802
0.2306,-0.00072542013245816
0.2363,-0.0008074808190311235
0.2417,-0.0006281521685838377
0.2473,-0.0007116743699048071
0.253,-0.0004078258040981636
0.2583,-0.0004870823124996926
0.264,-0.000503811405438568
0.2696,-0.0004867703578938787
0.2751,-0.0002970793691280463
