Experiment: Mar_4_Turb_expt vial 11, Thu Mar  4 17:36:01 2021
1.3509,-6.103017973396856
1.3563,-6.101864425460003
1.3618,-6.10270387983934
1.3675,-6.1015503602160726
1.3729,-6.103017973396856
1.3786,-6.102492572451619
1.384,-6.103149324821356
1.3896,-6.103777537095682
1.3952,-6.102441187071711
1.4007,-6.101733085067424
1.4064,-6.103463428207893
1.4118,-6.103777537095682
1.4175,-6.102178496205185
1.423,-6.102623921975014
1.4287,-6.103017973396856
1.4341,-6.102572533217887
1.4396,-6.100973637474595
1.4453,-6.101995766327857
1.4509,-6.102572533217887
1.4564,-6.101995766327857
1.4618,-6.1032007171786296
1.4674,-6.103594784435439
1.473,-6.103463428207893
1.4785,-6.104354381726172
1.4841,-6.10230984140081
1.4898,-6.104354381726172
1.4952,-6.102572533217887
1.5007,-6.10270387983934
1.5064,-6.103594784435439
1.512,-6.102572533217887
1.5173,-6.103017973396856
1.523,-6.101681696756155
1.5284,-6.101995766327857
1.5341,-6.101104968736355
1.5398,-6.102623921975014
1.5451,-6.103149324821356
1.5508,-6.103017973396856
1.5565,-6.102441187071711
1.5619,-6.103017973396856
1.5674,-6.1049312510701
1.5729,-6.10230984140081
1.5784,-6.101864425460003
1.584,-6.103332072455623
1.5897,-6.102572533217887
1.5952,-6.102886622447633
1.6007,-6.101915807239766
1.6064,-6.101915807239766
1.6118,-6.102572533217887
1.6175,-6.10230984140081
1.6229,-6.101864425460003
1.6285,-6.104405771375013
1.6343,-6.101287688561733
1.6397,-6.101733085067424
1.6453,-6.1027552719736855
1.6507,-6.103017973396856
1.6564,-6.101287688561733
1.6618,-6.102572533217887
1.6675,-6.10283522693607
1.6729,-6.103777537095682
1.6786,-6.102441187071711
1.6842,-6.102886622447633
1.6896,-6.102572533217887
1.6953,-6.1032007171786296
1.7007,-6.10306936237691
1.7063,-6.105428162684374
1.7119,-6.103646177015642
1.7173,-6.103828923144375
1.723,-6.104405771375013
1.7287,-6.105114018808269
1.7341,-6.1047198967665555
1.7398,-6.103463428207893
1.7452,-6.104091651484722
1.7508,-6.103646177015642
1.7562,-6.104091651484722
1.7619,-6.1032007171786296
1.7676,-6.101995766327857
1.773,-6.101864425460003
1.7785,-6.103463428207893
1.7842,-6.100973637474595
1.7896,-6.100842306688109
1.7953,-6.102886622447633
1.8007,-6.103646177015642
1.8063,-6.102886622447633
1.812,-6.104091651484722
1.8174,-6.102492572451619
1.8231,-6.102521134552035
1.8285,-6.102127107670986
1.8342,-6.101419024151265
1.8396,-6.10230984140081
1.8453,-6.101733085067424
1.8507,-6.102178496205185
1.8563,-6.102127107670986
1.862,-6.1016017451501225
1.8674,-6.102623921975014
1.8731,-6.102047151484837
1.8785,-6.101287688561733
1.8842,-6.101104968736355
1.8896,-6.101995766327857
1.8952,-6.1016017451501225
1.9007,-6.1032007171786296
1.9064,-6.102623921975014
1.9118,-6.103332072455623
1.9175,-6.1032007171786296
1.9231,-6.101419024151265
1.9285,-6.101681696756155
1.9342,-6.102806654199305
1.9396,-6.10230984140081
1.9453,-6.101733085067424
1.9507,-6.103828923144375
1.9564,-6.101784463469971
1.9618,-6.101733085067424
1.9675,-6.101915807239766
1.9729,-6.103383458281389
1.9786,-6.1027552719736855
1.9842,-6.102675300823417
1.9896,-6.1032007171786296
1.9953,-6.10306936237691
2.0007,-6.103777537095682
23.6681,-6.103412029096185
