Experiment: Feb_5_Batch_expt_zeroed vial 4, Fri Feb  5 18:54:24 2021
0.0037,27701
0.0094,27701
0.0147,27719
0.0204,27721
0.026,27742
0.0314,27759
0.0371,27769
0.0428,27781
0.0481,27797
0.0538,27799
0.0594,27809
0.0648,27826
0.0705,27840
0.0758,27853
0.0815,27854
0.0871,27863
0.0925,27883
0.0982,27880
0.1038,27895
0.1092,27873
0.1149,27849
0.1205,27862
0.1259,27857
0.1315,27948
0.1372,27902
0.1426,27920
0.1482,27869
0.1538,27930
0.1592,27962
0.1649,27943
0.1702,27917
0.1759,27900
0.1815,27882
0.1872,27941
0.1926,27881
0.1982,27919
0.2039,27895
0.2093,27975
0.2149,27969
0.2203,27883
