Experiment: Feb_5_Batch_expt_zeroed vial 3, Fri Feb  5 18:54:24 2021
0.0037,28305
0.0094,28312
0.0147,28325
0.0204,28329
0.026,28332
0.0314,28346
0.0371,28360
0.0428,28365
0.0481,28362
0.0538,28370
0.0594,28385
0.0648,28395
0.0705,28412
0.0758,28425
0.0815,28427
0.0871,28427
0.0925,28429
0.0982,28457
0.1038,28469
0.1092,28444
0.1149,28481
0.1205,28496
0.1259,28453
0.1315,28508
0.1372,28521
0.1426,28515
0.1482,28520
0.1538,28515
0.1592,28530
0.1649,28533
0.1702,28543
0.1759,28541
0.1815,28549
0.1872,28545
0.1926,28549
0.1982,28547
0.2039,28561
0.2093,28539
0.2149,28563
0.2203,28553
