Experiment: Feb_5_Batch_expt_zeroed vial 10, Fri Feb  5 18:54:24 2021
0.0037,28635
0.0094,28557
0.0147,28594
0.0204,28641
0.026,28628
0.0314,28662
0.0371,28584
0.0428,28667
0.0481,28672
0.0538,28673
0.0594,28683
0.0648,28698
0.0705,28693
0.0758,28710
0.0815,28720
0.0871,28724
0.0925,28726
0.0982,28738
0.1038,28744
0.1092,28750
0.1149,28748
0.1205,28762
0.1259,28656
0.1315,28773
0.1372,28774
0.1426,28778
0.1482,28774
0.1538,28785
0.1592,28770
0.1649,28792
0.1702,28795
0.1759,28793
0.1815,28779
0.1872,28795
0.1926,28794
0.1982,28791
0.2039,28804
0.2093,28779
0.2149,28795
0.2203,28800
