Experiment: Feb_5_Batch_expt_zeroed vial 13, Fri Feb  5 18:54:24 2021
0.0037,28532
0.0094,28533
0.0147,28526
0.0204,28546
0.026,28545
0.0314,28567
0.0371,28574
0.0428,28564
0.0481,28575
0.0538,28581
0.0594,28587
0.0648,28606
0.0705,28602
0.0758,28616
0.0815,28613
0.0871,28622
0.0925,28644
0.0982,28632
0.1038,28662
0.1092,28647
0.1149,28629
0.1205,28649
0.1259,28648
0.1315,28676
0.1372,28653
0.1426,28702
0.1482,28720
0.1538,28706
0.1592,28718
0.1649,28707
0.1702,28730
0.1759,28716
0.1815,28731
0.1872,28727
0.1926,28721
0.1982,28716
0.2039,28705
0.2093,28721
0.2149,28735
0.2203,28717
