Experiment: Feb_5_Batch_expt_zeroed vial 11, Fri Feb  5 18:54:24 2021
0.0037,26799
0.0094,26815
0.0147,26835
0.0204,26848
0.026,26858
0.0314,26862
0.0371,26875
0.0428,26879
0.0481,26905
0.0538,26899
0.0594,26930
0.0648,26945
0.0705,26952
0.0758,26957
0.0815,26976
0.0871,26985
0.0925,26989
0.0982,26996
0.1038,27013
0.1092,27029
0.1149,27023
0.1205,27041
0.1259,27047
0.1315,27056
0.1372,27069
0.1426,27055
0.1482,27076
0.1538,27086
0.1592,27099
0.1649,27111
0.1702,27117
0.1759,27117
0.1815,27120
0.1872,27115
0.1926,27131
0.1982,27135
0.2039,27143
0.2093,27128
0.2149,27114
0.2203,27140
