Experiment: Feb_5_Batch_expt_zeroed vial 6, Fri Feb  5 18:54:24 2021
0.0037,27940
0.0094,27960
0.0147,27970
0.0204,27973
0.026,27989
0.0314,28000
0.0371,28020
0.0428,28024
0.0481,28030
0.0538,28040
0.0594,28051
0.0648,28061
0.0705,28080
0.0758,28074
0.0815,28091
0.0871,28106
0.0925,28105
0.0982,28127
0.1038,28130
0.1092,28141
0.1149,28139
0.1205,28172
0.1259,28180
0.1315,28172
0.1372,28178
0.1426,28167
0.1482,28195
0.1538,28176
0.1592,28180
0.1649,28178
0.1702,28165
0.1759,28136
0.1815,28215
0.1872,28181
0.1926,28092
0.1982,28200
0.2039,28180
0.2093,28203
0.2149,28142
0.2203,28175
